1571665881,1,24,0,"CA,C2;C10,CQ;C5,C3;C7,CJ;S10,SJ;D4,D6;D2,D9;S3,S2;C8,C6;C9,C4;CK,H10;H4,H2;H7,HA;DK,DA;S4,S5;H9,H8;D10,D3;DJ,D8;DQ,D5;S6,H3;S7,HQ;S8,HK;S9,H5;SQ,H6;SK,HJ;SA,D7"
1571665881,1,2,0,"C3,C2;S4,S6;C8,C5;CQ,C10;CK,C7;CA,C9;S3,SJ;S8,S9;SQ,C4;D9,D10;S10,S5;S7,SK;HA,C6;H8,H9;H6,HJ;D5,D6;HQ,H5;SA,S2;D2,D7;DA,H2;DK,HK;DQ,H10;DJ,CJ;D8,H7;D4,H3;D3,H4"
1571665881,1,12,0,"CA,C2;C3,C9;D9,D10;S6,S4;C6,C8;SK,SA;D7,DJ;S7,S3;C7,CK;C10,C5;CJ,C4;S8,S9;D6,DQ;D4,D5;SQ,CQ;DK,DA;S10,S5;D2,D8;HA,S2;H3,H2;D3,HQ;H6,H4;H9,H7;H10,H8;HJ,H5;HK,SJ"
1571665881,1,6,0,"CQ,C2;C3,CA;D6,D8;D4,D7;S7,S8;C9,C10;SJ,SA;C7,C8;S3,S5;S9,S10;D3,D5;C5,C4;C6,CJ;HK,CK;H3,H5;H8,H6;S6,SK;HQ,HA;H9,H2;H10,H7;D2,D10;DA,SQ;DK,S4;DQ,H4;DJ,S2;D9,HJ"
1571665881,1,15,0,"CK,C2;C4,C5;C6,C3;C7,CA;D8,D10;D3,D2;C8,C10;S2,S3;S10,SJ;S7,S6;CJ,CQ;S8,S5;S9,SA;HK,C9;H5,H7;HQ,HA;H4,H3;SK,SQ;H8,H10;H9,S4;D7,D9;DA,H2;DQ,D4;D5,DK;DJ,HJ;D6,H6"
1571665881,1,3,0,"CA,C2;C4,C8;D5,D6;S6,S7;S4,S3;C5,C10;DK,DA;D4,D7;D2,D3;D8,D9;DJ,DQ;S9,SQ;SA,S5;D10,HA;SK,S10;C7,CK;H5,H2;CJ,CQ;H10,HJ;HK,C9;H4,H6;HQ,S2;H9,C3;H8,S8;H7,C6;H3,SJ"
1571665881,1,5,0,"CK,C2;C4,C3;C5,C8;D5,D7;D4,D6;S6,S7;CJ,C6;CQ,C10;D2,DJ;SQ,C7;HA,CA;S9,SJ;S3,S2;S5,S4;SK,S8;SA,S10;H2,H8;DK,DA;D8,D9;H3,H6;H10,HJ;HK,C9;H9,H5;D3,HQ;D10,H4;DQ,H7"
