1571665637,1,26,1,"C3,C2;C5,C4;C7,C6;C8,CQ;D10,DJ;S5,S3;CJ,CK;S7,S2;S8,S10;DK,DA;SQ,CA;HQ,C9;H9,C10;SA,S9;SK,S4;H2,H6;H3,H4;H8,S6;D8,D2;H5,HJ;H7,SJ;D7,D3;D4,D9;DQ,HK;D6,HA;D5,H10"
1571665637,1,26,1,"C4,C2;D9,D10;C9,C10;S10,SJ;S6,S8;S4,S7;D2,D4;D7,D8;D5,D3;D6,DJ;C3,C5;CQ,CK;S3,S5;SQ,SK;DK,DA;CJ,CA;S9,SA;H10,HQ;H7,H8;H3,HK;H2,HJ;DQ,H6;S2,HA;C8,H9;C7,H4;C6,H5"
1571665637,1,7,1,"CJ,C2;S3,S4;S10,SQ;DK,DA;S6,S5;S8,SJ;CK,CA;D4,D5;C6,C7;D10,DQ;C4,C5;D9,DJ;D3,D2;SK,S9;D7,D6;D8,HJ;C3,C9;HA,S2;H7,H8;HK,S7;H2,H4;HQ,H3;H9,H6;H10,H5;C10,C8;CQ,SA"
1571665637,1,2,1,"C5,C2;C3,C4;S3,S4;C7,C6;C8,CA;D8,DQ;S8,S9;S2,S6;S7,S5;C10,CQ;D5,D4;CK,C9;D6,D10;SQ,CJ;DA,DK;S10,H6;SJ,HQ;SK,DJ;SA,D3;H2,HA;HK,D2;HJ,D7;H8,D9;H5,H9;H4,H10;H3,H7"
1571665637,1,15,1,"CA,C2;S2,S10;D10,DJ;DQ,DK;D7,D8;CJ,CK;C6,C7;SJ,S7;SQ,S6;C4,CQ;HK,SK;H3,H4;HJ,SA;H9,S4;H6,H2;H5,H8;C10,HQ;C8,S3;C5,S5;DA,C9;D9,H10;D6,HA;D5,C3;D4,S8;D3,S9;D2,H7"
1571665637,1,11,1,"CJ,C2;C3,C6;S9,S10;D7,DJ;C10,CA;C9,CQ;D5,D9;S6,S8;SJ,SK;S5,S7;S4,SQ;D3,D6;C7,C4;C5,C8;S3,SA;DA,D2;S2,HQ;DK,D4;H3,H2;H4,HJ;HA,H5;H7,H6;H8,D10;H9,CK;H10,DQ;HK,D8"
1571665637,1,19,1,"CK,C2;S6,SK;C6,C9;S8,S4;S9,S7;SJ,S10;C3,C8;HA,S3;H5,H3;C4,C7;H10,HJ;D3,D4;HK,SA;HQ,S2;H6,H7;H8,H2;H9,H4;C10,CA;DQ,DK;CQ,S5;D6,D5;CJ,C5;D8,DA;D9,D2;D10,D7;DJ,SQ"
