1571662990,1,18,0,"CJ,C2;D7,D8;C7,C8;C6,C4;C9,C5;C10,C3;CQ,CA;D5,D6;DK,DA;D9,DJ;D4,DQ;S2,S5;S10,SJ;S6,S3;CK,H3;D2,D10;H6,H7;H4,H9;S7,S4;D3,SQ;S8,SA;HQ,HK;S9,SK;H10,H5;H2,HJ;HA,H8"
1571662990,1,5,0,"C5,C2;SJ,SQ;D2,D4;S9,SK;DJ,DQ;S3,S5;S8,S10;C10,CJ;D7,D6;S2,S4;C9,CK;DA,D5;S6,C4;S7,HA;SA,HJ;D9,D8;D10,D3;DK,H10;C3,C7;H4,H5;C8,CQ;H6,H7;HQ,H8;H9,HK;CA,H3;C6,H2"
1571662990,1,26,0,"CA,C2;C5,C9;D2,D3;D6,D7;S9,S10;S3,S4;S2,S6;C6,C4;CJ,C7;CQ,CK;SQ,C3;HJ,C10;H3,H4;H8,H9;H5,H6;SJ,S7;SA,S8;H2,HQ;D8,D4;H7,HA;H10,C8;DA,SK;D5,D9;D10,DJ;DK,S5;DQ,HK"
1571662990,1,3,0,"C4,C2;D9,DQ;D4,D5;D8,DJ;D7,DK;D6,D10;C9,C10;S5,S7;CJ,CK;C5,C3;D2,H2;D3,H6;DA,H10;C6,CA;S9,S10;HQ,HA;H7,H9;H5,H8;S3,S6;S2,S4;H4,HK;C8,CQ;SQ,SK;S8,SJ;H3,HJ;C7,SA"
1571662990,1,13,0,"CK,C2;C4,C5;DQ,DK;S5,S6;DJ,DA;C9,CJ;D9,D10;S8,S7;C6,C3;S10,S2;SJ,S9;SK,S3;D2,D4;HA,CA;D7,D8;H5,H7;D5,D3;D6,SQ;H2,H6;HK,S4;H4,H8;HQ,C10;HJ,SA;H10,CQ;H9,C7;H3,C8"
1571662990,1,11,0,"C6,C2;S2,S3;DK,DA;S6,S7;SQ,SK;D5,D8;DQ,D2;C7,CJ;S10,SJ;C8,C3;CQ,C9;D9,D6;D10,D4;DJ,D3;S4,D7;S5,H8;S8,HJ;S9,HA;SA,H10;H2,H5;HK,H3;H4,C5;H6,CK;H7,C4;H9,CA;HQ,C10"
1571662990,1,4,0,"CA,C2;S2,S4;S10,SK;C5,C6;CJ,CK;C10,CQ;D8,D9;D3,D2;C4,C3;C7,C9;DJ,DQ;S8,SQ;S7,S3;C8,HA;S5,SA;D10,DK;H4,H5;H9,HJ;D5,D6;DA,D7;S6,S9;H8,H10;HK,D4;H3,H6;HQ,H2;H7,SJ"
