1571662940,1,3,1,"C8,C2;C5,C4;C6,C3;C10,C9;CQ,C7;CK,CA;SQ,CJ;S7,S10;S5,S9;D5,D6;SJ,SA;DQ,DK;S3,S8;D7,D8;D9,D2;S2,SK;HA,S6;HK,S4;D4,D10;H2,H4;H10,HQ;H7,H8;DJ,DA;H9,HJ;H6,H5;D3,H3"
1571662940,1,26,1,"C6,C2;SQ,SA;D8,D10;CQ,CK;C9,C10;S4,S6;C8,CJ;D7,D9;S3,S5;C7,CA;D6,DQ;D5,DJ;D3,D4;S7,S8;DA,D2;S10,SK;HQ,SJ;HJ,S2;H10,HK;H4,H5;H8,HA;H3,H7;DK,H2;C5,H9;C4,H6;C3,S9"
1571662940,1,14,1,"C9,C2;S4,S6;S9,S10;D10,DJ;D9,DA;S8,SJ;S2,S5;D3,D4;C5,C3;S7,SA;C6,C4;SK,SQ;D2,DQ;CQ,CK;HK,S3;H4,H5;H10,HA;H2,H3;C8,C7;H6,H8;D8,DK;D6,D7;CA,C10;D5,HJ;H7,HQ;CJ,H9"
1571662940,1,2,1,"CK,C2;D4,D7;D9,D3;DJ,D2;DQ,D5;DA,DK;C3,C7;C4,C5;S8,S9;SQ,D10;HK,D6;S2,S3;HJ,D8;H3,H4;H2,H5;S4,S6;S10,SJ;H6,H8;C10,CJ;C9,CQ;H10,H7;H9,HQ;SA,HA;S7,S5;C6,CA;C8,SK"
1571662940,1,26,1,"C4,C2;D8,D10;CJ,CQ;S4,S3;S9,S6;S10,S2;C3,C5;HK,S7;D7,D9;H10,HQ;C7,C6;C8,C9;H9,S5;D3,D4;D6,DJ;H8,SJ;H7,S8;DQ,D5;DK,D2;DA,SK;H3,H5;H6,SA;H4,HJ;CA,H2;CK,HA;C10,SQ"
1571662940,1,26,1,"CK,C2;C4,C9;C8,CJ;S7,S8;S4,S5;DJ,DQ;D9,D10;S3,S2;C5,C10;D8,DK;S6,S9;CQ,CA;D4,D5;D3,D6;SJ,SQ;C6,C7;H9,C3;H7,H10;H5,HA;H2,HQ;SA,H8;SK,HK;S10,H6;DA,H4;D7,HJ;D2,H3"
1571662940,1,18,1,"CQ,C2;C7,C3;C9,CK;D3,D4;D9,D10;DJ,DK;S7,S8;S5,S3;C10,C8;CJ,C5;D2,D7;S6,S2;D6,D5;D8,DQ;HA,C6;HQ,HK;H10,C4;H4,H5;H3,H2;DA,HJ;H6,H9;S10,S9;H7,S4;H8,SJ;SK,SQ;SA,CA"
