1571665535,1,12,0,"C10,C2;S10,SJ;C5,C4;D3,D10;C6,C3;D5,D4;D6,D9;S9,SQ;D8,DJ;SK,SA;DK,D7;DQ,DA;CJ,CQ;S4,S5;HA,D2;S3,S6;H8,H6;HK,H2;S2,H5;S7,H9;S8,HJ;C7,H4;C8,HQ;C9,H7;CK,H3;CA,H10"
1571665535,1,26,0,"C5,C2;CJ,CK;C7,C8;S7,S8;D9,D10;DQ,DK;C9,CQ;D6,D8;D5,D7;SJ,SK;S2,S6;HK,S10;HQ,SQ;H3,H4;HJ,S3;H2,H5;C6,C3;C4,C10;H8,H10;H7,S4;H6,S9;CA,HA;DA,H9;D4,DJ;D3,SA;D2,S5"
1571665535,1,24,0,"C10,C2;D3,D4;C4,C5;S5,S8;S3,S2;D2,DQ;D7,D9;C7,C8;S9,S10;C9,CJ;S4,S7;C6,C3;D6,D8;SJ,S6;DA,DJ;CQ,HK;CK,HJ;CA,H9;SQ,HA;SK,D10;SA,D5;H5,H10;HQ,H3;H6,H4;H7,H2;H8,DK"
1571665535,1,8,0,"CK,C2;C7,C8;DQ,DK;C10,CA;S3,S5;C5,CQ;D6,D7;S8,S10;SK,SA;S2,S6;C4,CJ;S7,S9;D9,D3;C3,C6;D10,DJ;SQ,C9;DA,D5;SJ,S4;H4,H5;HA,D4;H6,H8;HK,H2;H9,H7;H10,H3;HJ,D2;HQ,D8"
1571665535,1,2,0,"CA,C2;C3,C4;D9,DQ;S7,S8;CJ,CQ;S4,S9;SJ,S6;C10,CK;SQ,C5;HA,C7;HQ,C8;H9,H10;HJ,C9;H2,H4;H8,C6;SA,S2;SK,S3;H5,HK;D7,DK;H7,S10;D5,D10;D4,D8;D3,D6;H6,H3;D2,DJ;DA,S5"
1571665535,1,3,0,"CQ,C2;C10,CJ;D5,D4;C3,C8;D10,DA;S2,S3;S6,S5;C4,C6;S10,SJ;S8,S7;C7,C5;CK,C9;D6,D2;D7,D3;D8,DK;SQ,CA;SK,SA;HK,DQ;HJ,HQ;H6,H7;H5,H8;S9,S4;H2,HA;H10,DJ;H9,H3;H4,D9"
