1571665588,1,4,1,"CA,C2;C4,CK;D6,D7;D10,DQ;S6,S7;D9,DJ;C9,C8;D3,DA;D5,DK;S9,SJ;C10,C6;D4,D8;SQ,D2;CQ,C5;CJ,C7;S2,SA;S8,S10;HQ,C3;H7,H4;H2,H10;H6,H5;H3,HK;SK,H9;S5,HJ;S4,HA;S3,H8"
1571665588,1,2,1,"C10,C2;D3,D4;D6,D5;D10,D7;DJ,D9;C3,CK;SQ,D8;SK,SA;HA,DQ;H9,H10;C7,C8;HK,D2;S6,S7;C9,CA;HQ,DK;HJ,DA;C6,CJ;H4,H2;H3,H8;S9,S10;C5,H5;S2,S3;C4,H6;SJ,H7;S8,S5;S4,CQ"
1571665588,1,26,1,"C4,C2;S9,S10;D2,D3;S3,S4;D4,D7;SK,SA;DK,DA;D10,DJ;S2,S5;SJ,SQ;DQ,D6;D8,D5;D9,C7;C3,CQ;C6,C10;CJ,CA;HA,CK;HQ,HK;H9,HJ;H2,H3;H7,H8;H5,C5;H4,C8;S8,H10;S7,C9;S6,H6"
1571665588,1,26,1,"CA,C2;D6,D4;D10,DQ;DJ,D8;C3,C10;S6,S7;SQ,D2;HA,DA;HQ,D7;HJ,D9;H8,H10;H7,D5;H4,H6;H3,DK;H2,D3;SJ,SK;CQ,HK;CJ,H5;C7,H9;S5,S8;S4,S9;C5,C9;SA,C8;S10,C6;S3,C4;S2,CK"
1571665588,1,5,1,"C3,C2;CJ,CQ;S4,S6;SJ,SQ;D7,D9;D5,D8;D10,DJ;S3,S9;S2,S10;SA,S8;SK,S7;D3,D2;D4,D6;C8,C9;C4,C5;CA,C10;DQ,DA;CK,C7;H2,HA;HK,C6;H5,H6;H8,H9;HQ,DK;HJ,H4;H7,H3;H10,S5"
1571665588,1,6,1,"C10,C2;D9,D10;C5,C4;C8,C3;C9,C6;CJ,C7;CQ,CK;S3,S5;S8,S10;SJ,SQ;S6,S7;D2,D3;DJ,D4;CA,H6;SK,S2;SA,S4;D6,DK;H2,H4;HA,S9;H10,HJ;H5,H3;H9,HQ;D8,DQ;HK,H8;D7,D5;DA,H7"
1571665588,1,26,1,"C9,C2;S4,S6;D10,DQ;CQ,CA;C4,C3;S7,S5;S9,S8;S10,S3;C5,C7;D2,D3;HA,SA;H10,SK;H9,S2;H8,SQ;H2,H5;D7,DJ;H7,SJ;H6,HK;C10,CK;C8,H3;D6,D9;C6,HQ;DA,H4;DK,CJ;D5,D8;D4,HJ"
1571665588,1,9,1,"CA,C2;C5,C9;SJ,SQ;S6,S8;C6,C7;D6,D7;D4,D2;C8,C3;CQ,CJ;CK,C4;D9,D5;D10,DA;S10,SK;DQ,D3;DJ,DK;S5,S7;S2,S3;HA,D8;H6,H3;S4,H8;S9,HK;SA,H10;H4,H2;H5,H9;HQ,C10;HJ,H7"
1571665588,1,15,1,"CA,C2;S4,S3;S9,SA;D6,D7;C5,C6;C7,C3;SQ,S5;C8,C4;C10,C9;CJ,D10;CQ,S10;CK,H5;D2,D8;HK,SJ;HQ,S8;H10,S2;H9,S6;H8,S7;H7,HJ;D3,D4;H3,SK;D5,D9;H2,H4;DA,H6;DK,DJ;DQ,HA"
