1571665912,1,9,1,"CJ,C2;C7,C8;C5,C9;S7,S8;S2,S3;DJ,DQ;D4,D7;C3,C4;CQ,CA;S10,SJ;D9,D10;SQ,SK;SA,S4;C10,C6;S6,S5;S9,HA;D3,D2;D8,D5;DK,D6;H2,H5;H4,H7;HK,H8;H9,H3;H10,H6;HJ,DA;HQ,CK"
1571665912,1,26,1,"CQ,C2;C6,C10;D10,DK;S4,S5;C8,C9;C7,C5;CJ,C4;D2,D6;D3,D4;HQ,CA;H10,C3;S3,S2;H2,H3;D8,D9;S7,S6;H5,H9;H7,HK;D7,DJ;D5,DQ;SJ,SQ;DA,H4;SA,HJ;SK,HA;S10,H6;S9,CK;S8,H8"
1571665912,1,26,1,"CK,C2;C3,C4;CQ,CA;D5,D2;C5,C7;D9,D10;S2,S4;S8,S9;D8,D3;CJ,C8;DQ,DK;S5,S3;DA,D7;S6,SJ;SQ,C9;HQ,C10;HJ,D6;H10,D4;H8,H9;H7,C6;H6,HA;H3,H4;SA,H2;SK,DJ;S10,HK;S7,H5"
1571665912,1,9,1,"C4,C2;DJ,DQ;C3,C5;SJ,SQ;S10,SK;C6,C7;D8,D9;D5,D6;S7,S8;D3,D4;DK,DA;D7,D10;S9,SA;C9,C8;D2,HA;CQ,CA;H8,H10;H5,H2;CK,CJ;H4,HK;H7,H6;S2,HQ;S3,HJ;S4,H9;S5,C10;S6,H3"
1571665912,1,8,1,"C8,C2;C9,CJ;D5,D8;S9,S10;C7,CQ;SQ,SA;SJ,SK;S5,S8;CK,CA;D4,D2;S2,S6;C4,C6;C3,C10;DA,D3;S4,S3;D10,D6;DJ,D7;DQ,D9;DK,H2;H3,HQ;H7,H4;H6,H10;HA,C5;HK,H8;H9,H5;HJ,S7"
1571665912,1,4,1,"C9,C2;S4,S5;C7,CQ;C3,C4;D7,D5;C5,C6;SK,SA;D8,D2;CK,CJ;CA,C8;D9,D3;D10,D6;DK,DJ;DA,DQ;S2,SJ;SQ,C10;HK,D4;H9,H10;HQ,HA;S6,S8;H7,H8;S3,S9;S10,S7;H2,H4;HJ,H5;H6,H3"
1571665912,1,21,1,"CK,C2;C7,C6;C9,C8;CQ,C5;CA,C4;S2,SA;HA,C10;H3,H2;S3,SK;D4,D5;H7,H8;D2,D3;DK,DA;D9,D10;D7,D8;S4,S5;HQ,HK;SJ,S8;D6,S10;DJ,H6;DQ,C3;H4,S6;H5,CJ;H9,S7;H10,S9;HJ,SQ"
