1571662976,1,24,1,"C9,C2;C3,C7;S8,SJ;S7,SA;C8,C4;S2,S4;DK,DA;D3,D4;C10,CJ;D6,D5;S6,S10;D7,D2;CQ,C5;CK,C6;CA,S5;D8,H4;D9,HA;D10,H10;DJ,HQ;DQ,H9;H3,H5;H6,H2;H7,SK;H8,S3;HJ,S9;HK,SQ"
1571662976,1,11,1,"CA,C2;C3,C10;S5,S6;D2,D6;SJ,SQ;C9,CQ;C8,CJ;S3,S2;C4,CK;DJ,DQ;D8,D9;DA,D4;C5,C6;DK,D3;C7,H5;D7,D5;D10,H10;S7,S10;H4,H2;S9,S8;SA,SK;H3,H8;H7,H6;HJ,H9;HK,HQ;HA,S4"
1571662976,1,3,1,"C4,C2;D4,D3;C3,CJ;S10,SJ;S6,S7;C5,C7;S2,S3;C9,CQ;SQ,SK;D10,DJ;D5,D2;C8,C10;DA,D7;CA,CK;D9,D8;DQ,D6;DK,H10;S4,SA;HA,C6;H3,H4;H2,H5;H8,H7;HQ,HK;S9,HJ;S8,H9;S5,H6"
1571662976,1,26,1,"CA,C2;D3,D2;D4,D5;S9,SJ;S2,S3;S7,S8;C9,C10;C4,C3;DQ,D7;S4,S10;SQ,DK;HA,D10;H6,H8;HK,D6;H9,H10;H2,D9;SA,H5;SK,H7;S6,H3;S5,D8;CK,DJ;CJ,HQ;C8,DA;C7,H4;C6,HJ;C5,CQ"
1571662976,1,26,1,"C3,C2;D6,D9;C5,C4;D2,D4;S10,SJ;SQ,SK;C9,C10;CJ,CQ;D3,D7;HK,DJ;HJ,DQ;H6,H7;S2,S5;H10,HQ;H5,HA;H4,DK;H3,DA;H2,D5;SA,H9;S8,D10;S7,D8;CA,H8;CK,S6;C8,S9;C7,S3;C6,S4"
1571662976,1,26,1,"C7,C2;C9,CK;SK,SA;S4,S3;C3,CQ;D7,D2;C4,CJ;S5,S2;C6,C5;C8,CA;SQ,C10;DQ,DA;D10,DJ;D9,D4;D8,DK;HK,D6;H7,H8;H10,D3;H4,D5;H2,H5;SJ,H6;S10,HJ;S9,HQ;S8,H9;S7,H3;S6,HA"
