1571665948,1,6,0,"C7,C2;S5,S7;SQ,SK;C8,C9;S4,S2;S9,S6;S10,S8;SJ,S3;D2,D8;C6,C3;D3,D10;C5,C10;HA,SA;CA,C4;CJ,H8;CQ,H6;CK,H7;D4,DJ;H5,H10;DK,DA;H4,H9;H3,HJ;D7,D9;D6,DQ;HK,H2;HQ,D5"
1571665948,1,8,0,"CJ,C2;C7,CA;S4,S5;D8,D9;SQ,SA;DJ,DA;D4,D5;C8,C5;C10,C4;D2,D7;S10,SJ;S2,S3;S9,SK;HK,CK;H4,H7;H3,H2;D3,DK;HQ,C6;D10,DQ;HJ,C9;H10,H8;D6,HA;H9,H6;S6,H5;S7,C3;S8,CQ"
1571665948,1,12,0,"CA,C2;C3,C9;D6,D9;D5,D8;C6,C10;SQ,SA;S3,S4;CK,C7;CJ,C8;CQ,C5;S2,S8;S10,SJ;HA,C4;S9,SK;H6,H3;H5,H2;HK,HJ;S5,D4;S6,H10;S7,H7;D3,D7;DA,D2;D10,H8;DJ,H4;DQ,H9;DK,HQ"
1571665948,1,17,0,"CQ,C2;S2,S4;D9,D10;D3,D2;D5,DJ;C8,C9;C5,C4;D6,D4;DK,D8;DA,D7;C6,C3;C7,CJ;S5,S6;S8,S3;C10,CA;S9,S7;CK,HA;S10,SA;H3,H4;SQ,SJ;SK,H7;H2,H10;HQ,DQ;HJ,HK;H9,H6;H5,H8"
1571665948,1,6,0,"CA,C2;S10,SJ;SK,SA;C10,CJ;S3,S2;D8,D6;C4,C8;SQ,DK;HA,D4;HK,D3;H10,D10;H2,H4;H6,DQ;H5,D7;CK,C3;C5,H7;C6,H8;C7,D2;C9,HQ;CQ,DA;S4,D5;S5,D9;S6,HJ;S7,DJ;S8,H3;S9,H9"
1571665948,1,3,0,"C6,C2;C9,C10;C7,C8;C4,C5;SJ,SQ;SK,SA;S4,S2;S6,S7;CA,C3;S9,S3;S10,S8;CJ,H9;CQ,H2;CK,H10;D2,DK;DJ,DQ;D7,D10;H4,H5;D6,DA;H3,H6;HJ,HK;D4,D9;D3,D8;H8,HQ;HA,S5;H7,D5"
