1571665625,1,26,1,"C7,C2;S7,S8;S6,S9;CQ,CK;S5,S3;C4,CA;D10,DK;C6,C5;C10,CJ;SQ,C8;HK,C9;HQ,HA;HJ,C3;H2,H3;D8,D9;H9,H10;D7,D3;S10,S4;SK,SA;H5,H7;H8,SJ;D6,DQ;H4,S2;D5,D2;D4,DJ;DA,H6"
1571665625,1,24,1,"CA,C2;C3,CK;D5,D7;C9,C10;S3,S2;C4,C8;SK,SA;D10,DJ;D2,D4;D8,D6;C5,CJ;S9,SJ;S8,S10;D9,D3;C6,HA;H3,HQ;S6,S7;H8,H7;C7,H5;CQ,H6;S4,H2;S5,H10;SQ,H4;DQ,H9;DK,HK;DA,HJ"
1571665625,1,16,1,"CA,C2;C8,C6;C9,C10;S9,S10;D10,DJ;D4,D6;S8,SJ;D3,D5;D2,D8;SK,SA;S2,S3;D9,D7;CK,CQ;DA,DK;S4,HA;S5,H7;S6,H10;S7,C7;SQ,CJ;H2,H3;H6,H8;H4,H5;HK,C3;HQ,DQ;HJ,C5;H9,C4"
1571665625,1,26,1,"CK,C2;S5,S6;SQ,SK;S3,S2;D2,D4;SA,S4;D3,D9;DQ,DA;HK,DJ;HQ,D6;HJ,D10;H10,HA;H8,DK;H6,D5;H5,D7;C5,C3;H2,H7;C9,C10;C4,C7;CJ,D8;C8,H9;SJ,H4;S10,CQ;S9,CA;S8,H3;S7,C6"
1571665625,1,7,1,"CK,C2;D2,DK;S3,S2;S4,SJ;D10,DA;C3,C5;C10,CJ;D7,DQ;D6,D8;CQ,CA;S6,S8;SQ,SK;D5,D4;S10,SA;HK,S5;HQ,HA;H10,S9;H9,HJ;H8,H3;C6,C4;C8,C7;C9,D3;H4,H2;H5,S7;H6,DJ;H7,D9"
1571665625,1,4,1,"CA,C2;C4,C7;D9,D10;S8,SQ;S5,S6;C6,C8;C10,CJ;S7,SJ;D3,D4;S4,S9;DK,DA;CQ,C5;C9,CK;S3,S2;SK,S10;D2,DQ;HA,SA;H9,H3;H7,H2;H8,HJ;HK,C3;DJ,H10;D8,H5;D7,HQ;D6,H4;D5,H6"
