1571663093,1,16,1,"CJ,C2;S3,S2;S5,S4;S6,SJ;S9,S7;SQ,S10;C6,CQ;HA,S8;D3,D4;H5,H6;H7,H8;DJ,DQ;DK,DA;D5,D6;H9,HJ;HK,SA;H4,H2;H3,HQ;CA,C5;C10,C8;CK,C3;D2,C7;D7,C9;D8,C4;D9,H10;D10,SK"
1571663093,1,4,1,"C7,C2;CJ,CK;D10,DK;D9,DQ;D3,D2;D7,D4;D8,D5;DA,D6;C3,CQ;C6,C4;C8,C5;C9,HA;C10,SK;CA,HJ;H3,HK;H6,H7;S4,S3;H4,H5;S7,S5;H8,H9;HQ,DJ;H10,H2;S8,SQ;SJ,SA;S10,S6;S9,S2"
1571663093,1,11,1,"CK,C2;C4,C9;D7,D8;D10,DJ;S10,SQ;D6,D9;S9,SJ;DQ,DK;S8,S3;D2,D5;S7,S2;D3,DA;S6,SK;CQ,CA;C7,C10;C5,C3;D4,HA;CJ,C8;S4,H8;S5,H9;SA,HJ;H4,H10;HK,H2;H6,H3;H7,H5;HQ,C6"
1571663093,1,16,1,"CA,C2;C7,C10;S2,S3;SK,SA;D6,D7;S10,SJ;D10,DJ;D4,D5;D9,DQ;D3,D2;S4,S5;CQ,CK;S7,S6;SQ,S8;C9,C5;CJ,C3;D8,HJ;DK,H9;DA,H3;H2,HK;H6,H7;H4,H5;HA,C8;HQ,C6;H10,S9;H8,C4"
1571663093,1,26,1,"CK,C2;C3,C8;C4,C6;D9,D10;D6,D2;C7,CQ;SQ,SK;S2,S4;CJ,CA;SJ,SA;D7,D5;C9,C10;HA,C5;H5,H6;HJ,HQ;H2,H3;S6,S3;S9,S8;S10,S5;DJ,D3;DA,D4;H4,H10;HK,DK;H9,S7;H8,D8;H7,DQ"
1571663093,1,26,1,"CA,C2;S2,S9;D5,D6;C10,CJ;S8,SJ;D2,D3;DJ,DK;D8,D10;S7,SK;S3,S4;S6,SA;C4,C3;S5,S10;HJ,SQ;H7,HA;D7,D9;D4,DQ;H6,H10;DA,H9;CK,H8;CQ,H3;C9,HQ;C8,HK;C7,H2;C6,H4;C5,H5"
1571663093,1,26,1,"CK,C2;S4,S3;D2,DA;D7,D9;S7,S6;D4,DJ;S9,S8;D5,DQ;C4,C5;S10,S5;DK,D3;SJ,S2;SQ,SK;HK,D6;H6,H7;HQ,HA;H8,H10;C8,C10;HJ,D8;C3,C6;H2,H5;C7,C9;SA,D10;CA,H9;CQ,H4;CJ,H3"
