1571665495,1,4,0,"C6,C2;D3,D2;D7,DJ;S5,S6;DQ,DA;D8,D4;D10,DK;SQ,D9;C5,C7;SK,SA;S9,S10;S4,S7;S3,S8;HA,D5;HJ,HQ;H5,H3;SJ,S2;H4,H6;C10,CJ;H7,H8;C8,C9;H9,H2;C3,CA;CK,H10;CQ,HK;C4,D6"
1571665495,1,1,0,"C7,C2;C3,C4;D9,D4;DJ,D10;DQ,D3;DK,D7;C6,C5;C9,C8;CJ,C10;CQ,S4;CK,S5;CA,H8;H2,H4;SQ,DA;HQ,D2;H10,D6;H7,D5;H6,D8;S6,S2;H3,HK;S10,SJ;S8,S9;S3,S7;H5,HJ;SA,H9;SK,HA"
1571665495,1,22,0,"C3,C2;C4,C8;D8,D9;S9,S10;C9,C7;CJ,C5;CK,C10;CA,CQ;D2,D7;S2,S6;S7,S5;D4,DQ;S8,S3;D5,DK;DA,DJ;SJ,S4;SQ,D6;SK,HK;SA,D3;H4,H3;H5,HJ;H7,H8;H6,H2;H10,H9;HQ,D10;HA,C6"
1571665495,1,9,0,"CA,C2;S3,SK;DK,DA;C6,C7;DJ,DQ;C5,C9;CJ,CQ;C4,C8;SQ,SA;S4,S7;CK,C3;C10,H4;S9,S5;S10,S2;H3,H2;H8,H7;H9,HJ;HQ,H10;HA,H6;D2,D3;D7,D8;D10,SJ;D9,S6;D6,H5;D5,HK;D4,S8"
1571665495,1,6,0,"CA,C2;C7,C6;C8,C5;C9,C3;CJ,C10;D2,DA;S3,S4;D9,D10;D8,DJ;SQ,SK;HA,CK;S8,S9;H4,H6;HQ,CQ;HJ,C4;H3,H2;D5,D7;H10,H7;D6,D3;DQ,DK;H9,H5;H8,HK;S2,S5;SA,D4;SJ,S7;S10,S6"
1571665495,1,18,0,"C10,C2;C4,C3;S2,S7;D6,D7;C7,C8;S8,SJ;D5,D2;S4,SK;DQ,DK;S6,S5;SQ,S10;SA,S9;D9,D10;DA,D8;DJ,D3;C6,C5;C9,CJ;HA,S3;H10,HJ;H2,H3;HK,D4;H6,H9;H5,H4;CQ,H7;CK,H8;CA,HQ"
1571665495,1,26,0,"C8,C2;D8,D9;SJ,SA;C6,C7;D7,DJ;S4,S5;S10,SK;S8,S9;D6,D10;S2,S6;DQ,D5;S7,S3;DK,D2;DA,D4;C3,C5;HA,D3;H10,HK;H8,SQ;C4,C9;H7,H9;C10,CJ;H5,HJ;H2,H6;CA,H3;CK,H4;CQ,HQ"
1571665495,1,1,0,"CK,C2;C3,C5;C6,C7;SJ,SQ;S8,S9;S2,S4;S6,S7;D10,DJ;D4,D5;DK,DA;CQ,CA;S10,SK;D8,D9;D6,D2;D3,D7;SA,S3;C4,C10;HA,DQ;H3,H4;H10,HQ;H8,HJ;H7,H9;H2,H5;HK,S5;CJ,C8;H6,C9"
