1571665937,1,19,1,"C3,C2;D4,D2;C6,C4;C8,C9;D9,D10;S9,S10;S5,S3;CK,CJ;CA,C10;S6,SK;HA,CQ;HQ,C7;H10,HJ;H9,C5;D5,D3;H4,H2;H5,HK;D8,D6;H6,H3;S7,S4;S8,SA;SJ,S2;DJ,D7;DQ,H7;DK,H8;DA,SQ"
1571665937,1,5,1,"C4,C2;SJ,SQ;C10,CQ;C8,CJ;D5,D7;D4,D6;S2,S4;DQ,DA;S8,S3;D3,DK;CK,CA;S7,S9;C7,C3;C5,C9;D9,D10;S6,SK;DJ,D2;C6,H10;D8,H5;S5,S10;H7,H3;SA,H6;H2,HA;HQ,HK;H9,HJ;H4,H8"
1571665937,1,23,1,"CK,C2;D8,DJ;C3,C5;S6,S8;S3,S10;S2,S5;SJ,S7;SQ,S9;SK,S4;SA,D9;D2,DQ;D3,D10;DA,D6;DK,D4;C6,CQ;HA,D5;H4,H2;H3,HK;H8,H7;H10,H5;C7,C4;C8,HJ;C9,H6;C10,D7;CJ,H9;CA,HQ"
1571665937,1,8,1,"CQ,C2;D7,D8;S10,SQ;S4,S2;S7,S8;D4,D6;DJ,DQ;S9,S3;SK,S6;D2,D3;HA,S5;H5,H7;H4,H8;CJ,CK;D9,DK;H3,H2;DA,D10;H10,H6;HJ,H9;HQ,CA;HK,C9;C3,C10;C8,D5;C6,C7;C5,SJ;C4,SA"
1571665937,1,26,1,"CK,C2;D7,D3;DQ,DK;S9,S10;C4,C8;HA,D10;H9,H10;S4,S5;H3,H4;HK,D6;HQ,D2;H8,DA;H7,D9;SK,SA;CQ,CA;H6,D4;H5,D8;C9,CJ;H2,DJ;C3,D5;SJ,SQ;S8,C6;S7,C5;S6,C10;S3,HJ;S2,C7"
1571665937,1,23,1,"CA,C2;C4,CJ;D3,D2;C7,C5;C8,C3;C9,CK;D5,D4;C10,CQ;HK,C6;SJ,SA;D6,D7;D8,D9;S6,S9;S3,S4;S10,SK;H6,H2;S2,S7;H9,H3;S5,S8;HQ,HA;H10,H4;D10,SQ;DJ,H5;DQ,HJ;DK,H7;DA,H8"
