1571662813,1,10,0,"C8,C2;C9,CQ;D8,D10;S4,S6;C7,CK;C5,C10;C4,CJ;S3,S2;C3,C6;D3,D9;D2,D5;S7,S5;CA,HJ;DK,DQ;DA,DJ;H9,HA;SQ,D6;HK,D4;HQ,H2;H10,H4;S8,H3;S9,H8;S10,H6;SJ,H7;SK,D7;SA,H5"
1571662813,1,3,0,"C7,C2;C10,CJ;C8,CK;SJ,SQ;S6,S7;C5,C6;D4,D9;DK,DA;S3,S4;SK,SA;C4,C9;S8,S9;C3,CQ;D10,D6;CA,H8;S2,H4;S5,H6;S10,D5;H2,HK;HQ,HA;HJ,D7;H10,D2;H9,DQ;H7,DJ;H5,D8;H3,D3"
1571662813,1,10,0,"CQ,C2;C4,CK;C6,C7;S4,S5;D3,D2;C9,C8;CJ,C10;D7,D9;SQ,SK;HA,CA;HK,C5;DQ,DK;D10,D4;D8,D6;H3,H2;H7,H4;H8,H6;H9,H5;HQ,H10;S2,S8;SA,DJ;SJ,C3;S10,D5;S9,HJ;S7,S6;S3,DA"
1571662813,1,11,0,"C10,C2;C4,C5;SJ,SQ;S7,S9;S4,S2;S3,S10;C6,C8;D7,D8;DK,DA;D10,D2;SA,S8;C3,C7;D9,D4;D5,D3;D6,DJ;HA,SK;H6,H2;DQ,S5;C9,CQ;CJ,CK;HK,S6;HQ,H8;CA,H4;H9,H7;H10,H5;HJ,H3"
1571662813,1,26,0,"C7,C2;D10,DJ;C3,C5;D2,D3;SK,SA;S6,S9;SJ,SQ;D5,D6;C9,C4;C8,CA;D7,D8;D4,D9;CJ,C10;S2,S4;S5,S10;HK,CQ;HJ,C6;H8,CK;H7,HQ;S3,S8;H6,H10;H5,HA;H2,H4;DA,H3;DK,S7;DQ,H9"
1571662813,1,4,0,"C7,C2;D2,D6;CK,CA;S7,S10;C4,C6;S5,S8;SJ,SQ;S4,S6;D8,D4;DQ,D5;DA,D7;C8,C9;HA,DK;HJ,HQ;H9,D9;H8,HK;H7,DJ;CQ,C10;CJ,C3;H3,H10;H6,H4;H5,H2;S2,S9;SA,D10;SK,C5;S3,D3"
1571662813,1,10,0,"CA,C2;C3,C7;D10,DQ;S10,SQ;D6,D7;D5,D9;S9,SJ;C6,C4;C5,CQ;S3,S2;C9,C8;CJ,C10;D2,DJ;HA,CK;H6,H3;D3,D4;H5,H4;DK,D8;DA,H2;H10,HK;S7,S8;S5,S6;SA,S4;SK,H9;HJ,H7;HQ,H8"
