1571662899,1,24,1,"CJ,C2;C5,C6;D10,DA;S4,S3;D2,D3;D8,D9;S7,S10;C3,C7;D5,D6;C8,C4;D4,D7;S6,S8;S5,S2;C9,C10;CK,CA;SJ,S9;CQ,HQ;SQ,HK;SK,H9;SA,H3;H2,H6;HA,H4;H7,H5;H8,DK;H10,DQ;HJ,DJ"
1571662899,1,26,1,"CA,C2;C3,C10;S7,S8;D2,D3;S2,S3;C9,CQ;SJ,SQ;S4,S5;S10,S6;C5,CJ;D4,D5;S9,SK;C8,C4;SA,C6;D6,D8;HJ,C7;D10,DJ;H9,HQ;H5,H6;H4,CK;DK,DA;H3,HK;H2,H10;DQ,H7;D9,H8;D7,HA"
1571662899,1,9,1,"CA,C2;C3,CQ;C8,C10;DJ,DQ;DK,DA;S5,S2;C6,C9;SJ,SK;C7,C5;CJ,C4;CK,HK;S7,S6;S8,S10;S9,SQ;H10,HQ;D3,D5;H9,HJ;D10,D2;SA,S3;H4,H3;H5,H2;HA,H8;D6,D4;D7,S4;D8,H6;D9,H7"
1571662899,1,26,1,"CA,C2;C3,C4;SQ,SK;C7,C8;C5,C9;S8,S9;D8,D9;D7,D10;DA,D2;C10,C6;CQ,CK;S6,S10;SJ,SA;HJ,CJ;H7,H9;S5,S7;H5,H10;S3,S4;H4,S2;DK,H8;DQ,H3;DJ,H2;D6,H6;D5,HQ;D4,HK;D3,HA"
1571662899,1,13,1,"C8,C2;D2,D3;D6,D7;CJ,CQ;D4,D9;DK,DA;S7,S8;C6,C4;C7,C10;D10,D8;C9,CK;S5,S10;DJ,D5;DQ,SQ;CA,C3;S2,S6;S3,S9;HQ,C5;H3,H4;H5,H6;H9,H10;SA,S4;SK,SJ;H2,HA;HJ,HK;H7,H8"
1571662899,1,26,1,"CK,C2;C4,CA;D6,D8;C9,CJ;D3,D2;C6,C3;C8,C7;CQ,C10;S2,S6;S10,SQ;D10,DJ;D9,DQ;HA,C5;H9,HK;D5,D7;H4,H6;H3,H7;H8,H10;S4,S9;S3,S5;SA,SJ;H2,H5;SK,HQ;DA,HJ;DK,S8;D4,S7"
