1571662670,1,15,1,"CA,C2;S2,S3;DJ,DQ;CJ,CQ;D8,D9;S7,S9;C8,C9;S4,S6;C5,C6;SK,SJ;SA,SQ;C3,C10;HQ,S8;H10,S5;D4,D5;H7,HK;D10,DA;H5,H8;D7,DK;C7,CK;H4,H3;H2,H9;C4,S10;D6,H6;D3,HA;D2,HJ"
1571662670,1,22,1,"CK,C2;S4,SK;D7,D9;D6,D10;S6,S3;SJ,S7;SQ,S2;SA,S10;D4,D2;D5,DA;DK,D3;DJ,D8;DQ,CA;C3,C4;C8,C9;HQ,S9;H3,H6;HJ,S5;H8,H7;H10,H2;C5,HA;C6,H4;C7,HK;C10,H9;CJ,H5;CQ,S8"
1571662670,1,2,1,"C10,C2;S4,S6;D9,D10;D4,D5;D2,D3;S2,S7;SJ,S3;SK,S8;C4,CQ;HQ,S5;HJ,S10;D8,DJ;H10,S9;H9,HA;H7,SA;H6,HK;H5,SQ;DQ,DK;H4,H8;C5,C7;CA,C8;H2,CK;H3,CJ;D6,C6;D7,C3;DA,C9"
1571662670,1,26,1,"C8,C2;D5,D4;D8,D2;D9,DA;S8,S9;C6,C7;S4,S10;C9,C10;S3,S6;S2,SJ;C5,C3;SK,SA;HA,S5;H2,H3;CJ,C4;D10,D7;DJ,DK;HK,S7;H10,D3;H8,SQ;H5,H6;H7,D6;H4,HQ;CA,HJ;CK,DQ;CQ,H9"
1571662670,1,19,1,"C8,C2;S9,SJ;D9,D10;C5,C4;C9,C6;C10,C7;CJ,C3;CK,CA;D4,D7;DQ,DK;S8,S10;S3,S4;D2,D3;SK,SA;S6,S2;S7,S5;SQ,H4;D8,D6;DJ,DA;H5,H9;H3,H8;HA,CQ;H2,H10;HK,H7;HJ,H6;HQ,D5"
1571662670,1,16,1,"CQ,C2;C3,CJ;C7,C8;S3,S2;C6,C4;C9,C5;C10,CA;SJ,SK;S5,S7;HA,CK;D7,D8;H7,H8;S10,SA;DQ,DK;H3,H4;S8,S4;S9,S6;D3,D10;HJ,HQ;D4,D2;DJ,D9;DA,D5;H5,H10;HK,D6;H6,H2;H9,SQ"
