1571665508,1,9,1,"C5,C2;SJ,SA;C3,C7;DQ,DK;S4,S5;D8,D9;S3,S2;S6,SK;D10,DJ;S7,S8;D7,DA;D3,D2;S9,SQ;C10,CQ;C9,C8;S10,HJ;CK,C6;CA,C4;D4,CJ;D5,HA;D6,H5;H2,HK;H4,H8;HQ,H7;H9,H3;H10,H6"
1571665508,1,20,1,"C4,C2;C10,CJ;S5,S7;S3,S8;C6,C7;SK,SA;SJ,S2;SQ,S9;D2,DJ;D4,D6;CA,C3;D3,D7;HA,S4;HK,S6;H9,H10;HJ,S10;H4,H2;H6,H5;D9,DA;DK,H8;D10,D8;C5,D5;C8,DQ;C9,H3;CQ,H7;CK,HQ"
1571665508,1,13,1,"CA,C2;D8,D10;D6,D9;C4,C5;C6,C7;S4,S2;D2,DQ;S5,S9;S10,S6;D3,D5;SQ,S8;DJ,DK;HQ,D7;H7,HA;H6,H9;H5,D4;H3,DA;SA,S3;H2,H10;C9,C10;SK,H4;CK,HK;CQ,H8;CJ,S7;C8,SJ;C3,HJ"
1571665508,1,23,1,"CA,C2;S6,S2;SJ,S3;SK,S8;SA,SQ;C4,CJ;CQ,CK;D3,D5;HA,S4;H3,H2;H8,H7;H10,H4;HJ,H6;HQ,H9;C5,C6;D2,D4;C10,S9;C9,HK;DJ,DQ;C8,S5;D7,D8;C7,C3;D6,D10;DA,H5;DK,S10;D9,S7"
1571665508,1,6,1,"CA,C2;C7,C5;CJ,C8;CQ,C10;CK,C9;S3,SJ;D4,D5;SQ,C4;HA,C3;D7,D10;H9,C6;H8,H10;D3,D9;D2,D8;H6,H7;DA,D6;H4,H2;H5,H3;DJ,S5;DQ,HK;DK,HQ;S4,S2;S6,S10;SA,HJ;SK,S7;S8,S9"
1571665508,1,18,1,"CA,C2;D5,DJ;S5,S3;D6,D7;C6,C7;C4,C5;S9,SJ;S7,S6;S8,S2;SQ,S4;SK,S10;SA,CJ;D9,D8;D10,D3;DQ,DK;DA,D2;C3,HQ;H4,HK;H5,H3;H7,H2;H8,HJ;CK,H9;CQ,HA;C10,H6;C9,H10;C8,D4"
1571665508,1,26,1,"C9,C2;S3,S6;D7,DK;D6,D9;D3,D2;S8,S4;S9,S7;D4,D8;C3,C4;HQ,S5;H4,H6;HJ,S10;H3,H5;H7,H8;C7,C8;H10,SA;H9,SJ;H2,S2;DA,HK;D5,SQ;CK,D10;CQ,DQ;CJ,CA;C10,DJ;C6,HA;C5,SK"
