1571665926,1,11,1,"CA,C2;S5,SJ;S9,SQ;C3,C4;D5,D6;S8,S4;SK,S3;SA,S2;D2,D8;C10,CJ;HQ,S7;H5,H3;H10,H2;HJ,H7;D3,DQ;DA,S10;C8,C9;D4,D9;DK,HK;DJ,D7;D10,H4;C5,HA;C6,H8;C7,S6;CQ,H9;CK,H6"
1571665926,1,23,1,"CK,C2;S7,S8;D4,D5;D9,D10;C8,C9;S4,S3;D2,D3;S9,S6;D7,DA;C10,CQ;C4,C3;D8,DJ;S10,S2;DK,D6;SJ,SA;C7,CJ;HA,DQ;H3,H4;H9,H5;SK,SQ;C5,H7;C6,H6;CA,H2;H10,H8;HQ,HJ;HK,S5"
1571665926,1,9,1,"C8,C2;SJ,SA;C4,C3;D2,DK;D7,D9;C7,C9;D6,DJ;D4,D3;D5,DA;S4,S5;S3,S2;DQ,D10;S6,SK;HK,D8;H6,HJ;H5,H4;S8,SQ;S10,H9;S9,S7;C5,H10;C6,H3;C10,H2;CJ,HQ;CQ,H8;CK,H7;CA,HA"
1571665926,1,17,1,"C6,C2;D6,D7;D5,D8;S3,S4;S2,S5;C5,C7;C9,C10;D4,D10;C3,CQ;D3,D9;CA,C8;S9,S10;SK,SQ;SA,SJ;D2,HQ;DJ,CJ;DQ,HA;DK,H9;DA,H2;H3,H10;H5,H6;HK,S6;HJ,S8;H8,C4;H7,S7;H4,CK"
1571665926,1,26,1,"CA,C2;C3,C6;D4,D8;DQ,DK;CQ,CK;D9,D10;D2,D6;DJ,DA;SQ,D5;S2,S3;C10,C5;C9,C4;S4,S9;HQ,D7;S7,S10;H4,H5;HJ,HK;H9,CJ;H7,D3;S5,S8;SA,S6;SJ,C7;SK,C8;H2,HA;H6,H10;H3,H8"
1571665926,1,6,1,"CK,C2;D8,DQ;C4,C5;CQ,CA;D7,D10;DK,DA;D5,D6;C7,C10;SJ,SQ;S6,S7;D4,DJ;S2,S3;S4,S8;S10,SK;S9,SA;HQ,S5;H6,H7;H8,H3;D2,D9;H5,H9;HJ,H2;D3,H4;H10,HA;C6,C9;CJ,C8;C3,HK"
1571665926,1,4,1,"C7,C2;D8,DQ;D7,D9;S3,S2;D2,D6;S6,S7;S4,S8;D4,D10;S10,S9;D3,DJ;SK,SA;SQ,D5;HA,DK;C8,C9;H3,H4;H10,H6;SJ,S5;H7,HK;H9,HJ;HQ,DA;C5,C6;H8,H2;C4,CQ;CA,H5;CJ,CK;C10,C3"
1571665926,1,26,1,"C3,C2;C8,C9;D3,D4;D9,D10;C6,C5;C7,CA;DQ,DK;D5,D2;CQ,CK;SQ,C10;S7,S9;SJ,SK;S6,SA;S5,S8;HK,CJ;HJ,HQ;H10,C4;S2,S3;H7,H8;H6,S10;D6,D7;H5,H9;H2,H3;DA,S4;DJ,HA;D8,H4"
