1571662697,1,18,1,"C3,C2;DK,DA;S7,S2;D2,D4;D7,D8;DJ,DQ;S9,S10;S8,S5;D5,D9;SJ,S6;D6,D3;D10,H5;SQ,S4;SK,S3;SA,C4;H3,HA;H6,H7;C10,CJ;H4,H9;H10,H2;HK,H8;C5,C9;CK,CA;CQ,HJ;C8,HQ;C6,C7"
1571662697,1,24,1,"C7,C2;C4,C5;S5,S7;S3,S8;S2,S4;SK,SA;D10,DQ;D3,D2;S10,S6;SJ,S9;SQ,C10;D6,D8;D9,D4;D7,DA;C9,CJ;C3,C6;DK,DJ;C8,H6;CQ,HA;CK,H9;CA,HJ;H3,H2;H4,H7;HK,H5;H10,H8;HQ,D5"
1571662697,1,20,1,"C7,C2;S4,S5;C9,C10;C6,C8;D3,D4;S8,SJ;D6,D7;S6,S9;D5,D8;S2,S7;C3,C4;DQ,DA;D10,DJ;CQ,CK;SK,SA;HA,S3;H4,H5;HK,S10;D9,DK;H6,H9;H10,H8;D2,HQ;HJ,H7;C5,SQ;CJ,H2;CA,H3"
1571662697,1,1,1,"C5,C2;C4,C3;S2,S9;S4,S6;DQ,DK;D7,D8;C9,C10;S10,SQ;DJ,D3;S7,S8;SK,SJ;D6,D5;D9,D2;D10,D4;C6,HQ;H2,HK;HA,SA;H8,H9;HJ,DA;H6,S5;CA,H4;CK,H7;CQ,S3;CJ,H10;C8,H3;C7,H5"
1571662697,1,26,1,"CK,C2;C4,C5;DK,DA;C10,CJ;S3,S4;S10,SJ;S5,S2;C8,C3;CQ,C7;D2,D7;SQ,CA;HA,C9;S6,S7;H9,H10;H3,H4;H6,H8;DJ,D4;D10,D8;H2,HK;HQ,DQ;HJ,D5;H5,D9;SA,C6;SK,D6;S9,D3;S8,H7"
1571662697,1,6,1,"CA,C2;C4,C5;D7,D2;C6,C9;D8,D4;C10,C3;CJ,CQ;SQ,SA;S9,S10;S5,S7;DJ,DQ;DA,D6;CK,C7;S2,S3;HA,C8;H2,H5;H7,H8;DK,D3;S4,S6;H10,H4;S8,SK;H9,HJ;HK,H3;HQ,H6;D9,D5;D10,SJ"
1571662697,1,26,1,"C8,C2;D4,D9;SQ,SK;DQ,DK;S9,SJ;S2,S3;S8,SA;S7,S10;D3,D7;C9,C10;D10,DA;CJ,C7;D2,D5;HA,CK;HK,C5;HJ,HQ;H4,H5;H6,H7;H10,CA;H9,CQ;H8,D8;H3,C6;H2,C4;S6,D6;S5,DJ;S4,C3"
