1571666329,1,4,0,"C5,C2;S7,S10;SJ,SQ;C7,C9;D7,D8;C6,C8;D5,D4;D10,DK;S6,S9;C4,C10;S5,S8;DA,D9;S2,S3;HQ,D3;HJ,HA;H3,H2;H8,H6;H9,H10;SA,DJ;SK,D6;S4,D2;CA,H5;CK,HK;CQ,DQ;CJ,H4;C3,H7"
1571666329,1,26,0,"CK,C2;S3,S2;S4,S7;D7,D2;S8,S6;S9,SJ;DK,DA;S10,S5;D8,D3;D9,DJ;HQ,SQ;DQ,D6;D10,D5;C3,C10;H10,D4;C8,C4;C5,CJ;H8,SA;H7,SK;H2,H3;H6,H9;H5,HA;H4,HK;CQ,HJ;C7,C9;C6,CA"
1571666329,1,19,0,"CQ,C2;S6,S9;D6,D7;DJ,DQ;D3,D2;S7,S8;SJ,S3;SQ,S4;D8,D10;C6,C7;HA,S2;CJ,CK;HK,SA;H10,HJ;H7,H3;C5,C8;H6,H8;HQ,S10;H9,H2;H4,C4;H5,S5;C9,CA;DA,D5;C10,C3;D9,D4;DK,SK"
1571666329,1,8,0,"C9,C2;C3,C10;S9,SQ;C8,C4;C5,CQ;D9,D2;C6,CJ;S7,SJ;D8,D4;C7,CA;S6,SA;HA,CK;HJ,HQ;H10,H3;S3,S8;H9,HK;DJ,DK;D7,D5;S5,S2;D6,DQ;H8,H2;DA,D3;H4,SK;H5,S10;H6,D10;H7,S4"
1571666329,1,7,0,"CA,C2;D4,D2;D8,DQ;S4,S6;D10,D7;DK,DJ;S2,S10;SQ,D6;C8,C9;HK,DA;HQ,D9;H10,D3;S7,S5;H3,HA;CQ,CK;C3,C4;H9,D5;H5,H4;S9,SK;SA,S3;SJ,S8;C5,H6;C6,H2;C7,H7;C10,H8;CJ,HJ"
1571666329,1,1,0,"C5,C2;D4,D8;DQ,DK;S8,S9;C7,C8;CJ,CK;D9,D10;S10,S4;D3,D5;SJ,S7;DA,D6;SK,S3;SA,S6;C6,C4;C9,CQ;HA,D2;H6,H8;HK,SQ;CA,C3;C10,HJ;H2,H5;H4,H7;HQ,S5;H10,DJ;H9,D7;H3,S2"
1571666329,1,11,0,"CK,C2;D4,DQ;S10,SJ;SQ,SK;S6,S7;CQ,CA;S3,S2;D5,D2;D6,D8;SA,S5;DA,DK;S8,S4;S9,HQ;C5,C4;C9,C3;C10,C7;CJ,C8;H3,HK;HA,H4;H5,H2;H6,D10;H7,D9;H8,D7;H9,DJ;H10,C6;HJ,D3"
