1571662774,1,26,1,"CQ,C2;D2,DQ;C5,C6;S2,S4;C8,C9;S5,S3;C3,CA;D4,D3;C4,CJ;D10,DJ;S9,SJ;S6,S7;S8,S10;SQ,SK;D8,DA;C10,CK;D7,DK;HA,D9;HQ,D6;H6,H8;H4,H5;HJ,D5;H10,HK;H3,H9;SA,H7;C7,H2"
1571662774,1,13,1,"C3,C2;S8,S2;C5,C4;C10,C8;CJ,CA;S9,S7;CQ,C9;CK,C7;S10,S5;SQ,S6;SK,S4;SA,S3;D2,D8;D9,DJ;HA,SJ;HQ,HK;H10,C6;H8,HJ;DQ,DK;H4,H6;D3,D4;H7,H9;D6,D7;D5,D10;H3,DA;H2,H5"
1571662774,1,1,1,"CA,C2;C6,C3;C7,CK;S4,S7;D2,D3;DJ,DK;SK,SA;S10,SQ;C8,C5;C10,C4;CQ,CJ;S2,SJ;D6,D4;S3,S6;D5,D8;D9,D7;DA,DQ;S8,S5;S9,H9;H2,H10;H6,H7;H8,HJ;H3,H4;HQ,HK;HA,D10;H5,C9"
1571662774,1,5,1,"CK,C2;C4,CQ;D5,D7;S9,S10;C9,CA;D3,D4;DQ,DK;D8,D9;S6,S8;SQ,SA;S3,S4;D2,D6;C8,CJ;DJ,DA;SJ,SK;C7,C5;D10,H2;S2,S7;H5,H3;S5,C10;H4,H9;HJ,HQ;H8,H6;H7,H10;HA,C6;HK,C3"
1571662774,1,7,1,"C7,C2;C6,C8;S7,S8;SJ,SQ;S10,SK;C10,CQ;C5,CJ;D8,D10;D6,DQ;S5,S6;DA,D7;DK,D5;C3,CA;HA,D2;HK,D9;H8,H3;C4,CK;H7,H9;H10,C9;H6,D4;H5,H4;S2,D3;S3,DJ;S4,HQ;S9,HJ;SA,H2"
1571662774,1,26,1,"C3,C2;DQ,DK;SQ,SA;C8,C9;S7,SJ;S6,SK;S5,S10;C7,CJ;D7,D8;D4,D5;S3,S8;HK,S9;H7,S4;C6,C10;H6,S2;C4,C5;CA,H5;CK,H9;CQ,HJ;DA,H3;DJ,HA;D10,H8;D9,H4;D6,H10;D3,HQ;D2,H2"
1571662774,1,26,1,"CJ,C2;C4,CA;D2,D5;D10,DJ;S6,S8;S5,S7;SJ,SK;D6,D7;D9,D4;C6,C5;C8,CK;HJ,C10;S4,S10;H10,C9;H4,H5;H9,C3;DQ,D8;DK,D3;DA,C7;S2,SQ;S3,S9;H7,HQ;H6,HA;H3,H8;H2,HK;SA,CQ"
