1571665990,1,26,1,"C5,C2;S6,S7;C8,C9;D8,D2;DJ,D6;DQ,D9;DA,D7;C3,CQ;HK,D5;H3,H5;HQ,HA;SJ,SK;S8,S9;H6,H7;HJ,DK;C7,CJ;S10,SQ;H10,D3;CA,D4;CK,D10;C6,H9;S2,S3;C4,C10;SA,H4;S5,H2;S4,H8"
1571665990,1,26,1,"C6,C2;S6,S8;D2,D3;S4,S7;C7,CQ;D4,D5;S9,S10;SJ,SK;D8,D6;CK,C5;SA,S5;D9,D7;D10,DQ;HA,C4;H4,H5;HQ,C3;HJ,CA;H8,H9;H10,C10;H7,HK;H6,SQ;H3,S3;H2,S2;DA,C8;DK,CJ;DJ,C9"
1571665990,1,26,1,"C10,C2;D2,D8;C6,C7;SJ,SQ;S9,S10;D10,D5;D9,D4;DA,D3;S3,S8;HK,D7;S4,S2;S6,S7;CJ,CQ;HQ,D6;H9,HA;H3,DJ;H2,DQ;SA,DK;SK,H8;CA,HJ;CK,H7;C9,H5;C8,H10;C5,H6;C4,H4;C3,S5"
1571665990,1,3,1,"C8,C2;C3,C9;S5,S9;DJ,DQ;C6,CA;D7,D8;S4,S6;D5,D6;D2,D3;D9,D4;C4,C10;SQ,C5;HK,CJ;HQ,CQ;H3,H5;H6,H7;H10,CK;H9,C7;H2,H4;SA,S3;S10,S8;SJ,S2;SK,S7;D10,HJ;DK,H8;DA,HA"
1571665990,1,11,1,"C10,C2;D8,DJ;CQ,CK;S8,S9;S5,S4;C6,C8;S6,S2;C7,C4;CJ,C5;CA,C3;D4,DA;D7,D9;S7,S3;D5,D3;D6,D10;SQ,C9;DK,D2;DQ,HA;H3,H2;H5,H4;H6,H9;H10,H7;S10,HJ;SJ,H8;SK,HK;SA,HQ"
1571665990,1,23,1,"C5,C2;S8,S9;C10,CQ;C7,CK;D9,D10;D2,D6;D8,D3;C3,C8;DJ,D5;C4,C9;S6,S7;SJ,SA;DQ,D4;CA,C6;DK,D7;DA,SQ;S2,S5;HA,CJ;HJ,H3;S3,SK;H10,H7;S4,H4;S10,H2;H8,H6;H9,HQ;HK,H5"
