1571665614,1,11,0,"C4,C2;D2,D3;D4,D5;S3,S2;D6,D9;DQ,DA;SQ,SK;S8,S9;CJ,CA;C9,C10;SJ,SA;C3,C5;D10,DJ;C8,CQ;D8,DK;C7,CK;H4,H5;HQ,H8;C6,H3;D7,H7;HA,HK;S4,H6;S5,H2;S6,H10;S7,H9;S10,HJ"
1571665614,1,13,0,"CQ,C2;C3,CK;D7,D8;D4,D2;C6,C9;C7,C8;D10,D6;C10,C5;DJ,D9;DQ,D3;DK,D5;S2,SK;S6,S7;S10,SJ;HA,C4;HQ,HK;H7,H8;S4,S3;S5,S9;HJ,CJ;SA,SQ;H2,H5;H4,H6;H10,CA;H9,DA;H3,S8"
1571665614,1,13,0,"C9,C2;C7,CQ;S8,S9;D6,DJ;D3,D10;C4,C10;S3,S2;C3,C8;SJ,SK;S6,S7;S10,SQ;DA,D4;CK,C5;DQ,D7;DK,D2;S4,H6;S5,H9;SA,C6;H4,H2;H7,H3;H8,H5;H10,CA;HJ,D8;HQ,D5;HK,D9;HA,CJ"
1571665614,1,20,0,"C3,C2;S10,SJ;S4,S2;D5,D8;CQ,CK;S6,S3;D6,D10;C8,C9;C6,C7;S8,S7;DK,D7;S9,S5;SK,SA;HA,D3;HK,DJ;HJ,HQ;H3,H4;H6,H2;H8,H5;H9,H7;H10,D2;C4,DQ;C5,DA;C10,SQ;CJ,D4;CA,D9"
1571665614,1,6,0,"CJ,C2;S4,S2;S5,SA;C9,C10;D6,D7;S9,SQ;D4,D5;CQ,CK;C4,C3;S6,S3;S7,S10;CA,C5;SK,S8;C6,H7;C7,H5;C8,D8;D3,D2;D10,D9;DJ,DA;HA,SJ;H6,H8;H10,HJ;H4,H9;HK,H2;HQ,H3;DK,DQ"
1571665614,1,26,0,"CA,C2;D2,D7;CJ,CQ;C5,C7;C4,C6;S10,SJ;C8,C3;C10,C9;CK,D4;D9,DQ;S5,S6;D10,D5;DA,D3;S2,S7;S4,S9;SQ,DK;HK,D6;HQ,D8;H2,H3;S3,S8;H8,H9;HJ,DJ;H10,HA;H4,H6;SA,H5;SK,H7"
1571665614,1,6,0,"CA,C2;S3,SK;D10,DJ;C9,CJ;D5,D6;SJ,SA;C4,C5;C8,CQ;C7,C10;D8,D9;D3,D2;C3,DK;C6,H3;CK,H10;S4,S9;S8,S5;S10,SQ;HK,S6;H7,H4;H5,HQ;H6,H2;H9,HJ;DA,H8;DQ,S7;D7,HA;D4,S2"
1571665614,1,2,0,"CK,C2;D7,D8;D5,D9;S9,SJ;S7,S8;S6,S10;S5,SQ;C4,C5;S3,S4;C7,C8;CA,C9;CJ,C6;CQ,C10;S2,HJ;SK,H5;SA,D6;D3,DJ;DQ,D2;D10,DA;HA,DK;HQ,HK;H2,H3;H10,C3;H9,D4;H6,H7;H4,H8"
