1571665709,1,2,0,"C10,C2;S9,S10;DK,DA;D2,D6;S4,S5;D8,D4;DJ,D10;DQ,D9;S2,S6;C5,C7;C4,C9;S7,S3;S8,SA;SQ,D5;CK,C3;SK,SJ;CJ,C6;CQ,C8;H3,HK;HQ,HA;HJ,D7;H10,CA;H8,H9;H7,D3;H5,H6;H4,H2"
1571665709,1,26,0,"C8,C2;D5,D2;D7,D3;D8,DJ;SQ,SK;CK,CA;D10,D9;DA,DQ;C3,CJ;S4,S3;C4,C10;HK,D4;H9,DK;H8,D6;H4,H5;S6,S5;H2,H3;S10,S7;H6,HQ;S9,S2;H7,H10;SA,HJ;C7,C9;C6,CQ;S8,HA;C5,SJ"
1571665709,1,4,0,"C8,C2;C3,CQ;C7,C10;S3,S5;S2,S4;D2,D3;DQ,DK;D10,DA;D6,D7;D9,DJ;S9,S10;S6,S7;SQ,SK;C5,CJ;C4,C6;HA,CK;HJ,CA;H6,H8;H10,C9;H5,H7;H3,H4;H9,H2;D8,D5;S8,D4;SJ,HK;SA,HQ"
