1571662762,1,26,0,"C3,C2;D3,D7;S4,S6;CJ,CQ;D9,DK;D2,D4;SQ,D10;H10,DQ;H4,H5;H7,HA;H6,D5;C5,C6;H3,DJ;S9,S10;H2,D6;S8,SJ;SA,D8;C7,C8;SK,H9;S3,DA;S2,HQ;CA,S7;CK,H8;C10,HK;C9,HJ;C4,S5"
1571662762,1,1,0,"CQ,C2;C6,C3;C8,CA;D3,D4;S9,S10;S6,SA;S5,S7;D10,DJ;D6,D7;D8,D9;D2,D5;DQ,DK;C9,C4;C10,C7;DA,HA;S2,SK;H6,H7;H3,H4;H2,H5;H8,H9;HK,CK;HQ,CJ;HJ,C5;S4,SQ;S3,SJ;H10,S8"
1571662762,1,7,0,"C9,C2;S7,S2;S8,S10;CK,CA;C3,C5;DK,DA;D9,DJ;C6,C4;S9,S3;SK,SJ;SA,S6;C8,C7;C10,H4;CJ,H8;CQ,HA;H7,HJ;D8,D10;HK,S4;H9,H5;HQ,H6;D2,D3;DQ,H3;D7,H2;D6,S5;D5,H10;D4,SQ"
1571662762,1,11,0,"CA,C2;S2,S7;D6,D7;C8,C10;DJ,DQ;C7,CJ;S9,S10;D9,DK;D4,D5;C6,C9;SJ,SQ;D8,D10;CQ,CK;C5,C3;C4,S6;D3,D2;DA,H6;S5,S3;SK,S4;H4,H9;HA,H5;H8,H7;H10,H2;HJ,H3;HQ,S8;HK,SA"
