1571662761,1,8,0,"C8,C2;D6,D10;C7,C6;C9,CK;SJ,SQ;S9,S10;S6,S7;D5,D8;D4,D2;C10,C5;CA,CJ;S4,S2;S5,SK;D3,D9;DA,D7;S8,S3;SA,CQ;DJ,HQ;DQ,HA;DK,H9;H4,H3;H5,HK;H8,H10;HJ,C4;H7,H2;H6,C3"
1571662761,1,17,0,"CK,C2;S10,SJ;C4,C3;SQ,S6;SK,S4;SA,S3;C5,C8;CJ,CQ;DK,DA;HA,S9;H9,H10;HK,S8;D3,D5;H4,H5;H7,S2;C10,CA;D9,D10;H6,S7;C9,H3;D2,D6;DQ,D4;C6,H8;C7,H2;D7,S5;D8,HJ;DJ,HQ"
1571662761,1,10,0,"CA,C2;C3,CJ;D4,D5;C9,C10;S2,S3;D9,DJ;S7,S8;SK,SA;S5,S4;C7,C4;CK,C5;D2,D6;SQ,CQ;HA,C8;H3,H4;H8,H5;H10,H6;HJ,H9;D3,D7;D8,D10;DA,DQ;DK,HQ;S6,C6;S9,HK;S10,H2;SJ,H7"
