1571662826,1,11,0,"C3,C2;SQ,SK;D3,D4;D10,DQ;C6,C8;D9,DJ;CJ,CQ;D8,D2;C5,C4;C9,C10;S7,S8;S3,S6;CA,C7;CK,HQ;H5,H10;S2,S4;D7,DK;H8,H6;HK,HJ;D5,S5;D6,H4;DA,H7;S9,H3;S10,H2;SJ,HA;SA,H9"
1571662826,1,6,0,"C3,C2;C6,C8;SQ,SK;D8,D9;D3,D4;D10,DJ;DQ,DA;D7,D2;D5,DK;S9,SA;S4,S3;D6,SJ;S7,S10;S8,S2;C4,C9;HQ,S5;H6,H2;H5,H3;H8,HK;HJ,S6;C5,C7;H10,H7;C10,CK;CA,H9;CQ,H4;CJ,HA"
1571662826,1,8,0,"C3,C2;C7,C5;C8,CJ;S8,S10;D6,D8;SK,SA;S7,SQ;D5,D10;C9,C4;S3,S5;D4,D7;DQ,DK;CK,CA;S4,S2;CQ,C10;D2,D9;HA,S9;H2,H3;H8,H10;H7,H4;D3,HJ;DJ,HQ;DA,H9;H5,S6;H6,SJ;HK,C6"
1571662826,1,20,0,"C10,C2;D10,DK;S10,SA;CQ,CK;S4,S3;S6,S9;S8,SJ;C7,C8;D8,DJ;D7,DQ;C6,C3;S7,S5;CJ,C5;CA,C4;D3,D2;D5,D9;HA,C9;H9,H10;HK,SK;H6,H7;H5,H2;D6,D4;DA,H4;H8,H3;HJ,SQ;HQ,S2"
1571662826,1,19,0,"CA,C2;C3,C6;D8,D10;S2,S4;S6,S3;C4,C7;S9,S10;S7,S5;C10,C9;CJ,C5;CQ,CK;SJ,S8;SQ,HK;SK,D9;SA,H6;H3,H9;HJ,HQ;DJ,DQ;DK,DA;H10,HA;H7,H4;H5,H2;D2,D7;D5,C8;D4,H8;D3,D6"
