1571665844,1,26,1,"C6,C2;C5,C3;C8,C7;C10,CA;SQ,SK;S10,SA;D5,D6;S8,S2;CK,C9;S3,SJ;D4,D7;HK,C4;S7,S9;HJ,CJ;D10,DJ;D9,DK;H8,H9;H7,H10;D8,DQ;H3,H4;D3,DA;H5,HA;H2,HQ;S6,H6;S5,CQ;S4,D2"
1571665844,1,26,1,"CK,C2;C4,C9;DQ,DK;D6,D9;SJ,SQ;S5,S6;DJ,DA;C10,C5;C8,C3;D2,D4;D5,D8;S7,S8;HA,C6;H3,H4;HK,C7;S2,S3;HQ,CQ;HJ,CA;H6,CJ;D3,D7;D10,H9;SA,H8;SK,H5;S10,H10;S9,H7;S4,H2"
1571665844,1,22,1,"CA,C2;C6,C4;C7,C9;DQ,DK;D2,D3;D4,D5;S5,S7;S10,SJ;D8,D7;C8,C3;CJ,C10;S3,S6;HA,C5;HK,CQ;H10,HJ;H6,H4;S8,S9;H7,H2;SA,S2;H8,H5;H9,H3;HQ,SK;D9,D6;D10,S4;DJ,CK;DA,SQ"
