1571665547,1,26,1,"CA,C2;C3,C4;S8,SJ;S7,S10;S6,S9;DK,DA;S5,SQ;D5,D6;D8,D10;C8,C7;CJ,CK;HA,C6;HQ,CQ;H9,HJ;H7,C5;H6,C10;H4,C9;D3,D2;H2,H5;D7,D9;DJ,HK;SA,D4;SK,H8;S4,H3;S3,H10;S2,DQ"
1571665547,1,7,1,"CK,C2;C4,CA;D5,D6;D9,D10;DJ,D3;DQ,D4;DK,D2;C7,C3;C8,C6;C9,C10;SQ,D8;S10,SJ;HA,DA;S3,S4;HK,D7;H8,H10;H2,H7;HQ,H9;HJ,H3;CQ,C5;S5,S7;SA,S2;S6,H5;S8,H4;S9,H6;SK,CJ"
1571665547,1,6,1,"CK,C2;S2,S6;C5,C6;D9,DJ;D6,D7;S9,S10;C3,C10;CJ,C9;CQ,C4;CA,C8;S7,S3;S8,SQ;SA,S4;SK,SJ;D2,DA;D3,D4;D8,D10;HA,S5;H4,H5;H7,H9;H3,H2;HJ,HQ;HK,H10;D5,H8;DQ,H6;DK,C7"
1571665547,1,12,1,"CK,C2;C3,C10;D4,D6;SQ,SK;S10,SJ;D3,D5;C6,C4;C5,CJ;S3,S4;DK,DA;S7,S8;D9,D2;CQ,CA;HA,C7;H6,H2;D8,D7;DJ,D10;DQ,H10;S2,S9;H5,H4;S5,HQ;S6,HK;SA,C9;H8,H7;H9,H3;HJ,C8"
1571665547,1,20,1,"C6,C2;C5,C3;S3,S6;SJ,SK;D2,D3;D7,D5;S5,S10;D10,DJ;D8,D6;S9,S4;D9,D4;DQ,C8;DK,HQ;DA,SQ;H3,HA;HK,S2;H10,S7;H4,H6;H9,H7;H8,H2;C9,C4;C10,C7;CJ,S8;CQ,SA;CK,H5;CA,HJ"
1571665547,1,17,1,"C10,C2;C6,C4;C7,CK;D6,D8;D5,D7;S4,S5;S6,SJ;DK,DA;S3,S2;C9,C8;SK,S10;SA,SQ;D2,H9;D3,CQ;D4,S8;D9,C3;D10,HK;DJ,H7;DQ,HJ;H2,HA;H3,H4;HQ,C5;H10,CA;H8,S7;H6,S9;H5,CJ"
1571665547,1,19,1,"C5,C2;C8,C9;S3,S4;S2,S6;S8,S9;D6,D8;CQ,CK;D3,D4;D10,DQ;C3,C4;D5,D7;SJ,SA;D9,DK;S10,SK;S7,S5;D2,DJ;CJ,CA;HA,DA;H7,H10;H2,H3;H6,H9;HQ,H8;HK,H4;C6,SQ;C7,HJ;C10,H5"
