1571662509,1,19,1,"C7,C2;C4,C5;S5,S7;C10,CJ;S9,SK;S3,S6;C6,C8;D3,D5;D6,D7;D9,D10;D8,DJ;DQ,D2;DK,D4;S2,S4;HA,DA;H3,H5;H10,HJ;H6,H7;HQ,H9;S8,SJ;HK,H4;C3,SQ;C9,H2;CQ,H8;CK,SA;CA,S10"
1571662509,1,11,1,"C8,C2;SJ,SQ;DK,DA;C10,CQ;D5,D6;D9,D10;C6,C3;C4,C9;S8,S10;D3,D4;S6,S7;C5,C7;CA,CK;S2,S9;SA,S4;S5,S3;SK,HK;H7,H9;HA,H4;HJ,H2;HQ,H3;D2,H10;D7,H8;D8,H6;DJ,CJ;DQ,H5"
1571662509,1,4,1,"CK,C2;D3,D9;CQ,CA;S3,S4;C4,C5;D6,D2;D10,DK;SQ,SA;C9,C3;DQ,D5;C6,C10;HJ,D7;H10,HK;S10,SJ;H8,DJ;H7,H9;H2,H5;S9,SK;H6,DA;S8,S2;S5,HA;S6,HQ;S7,D8;C7,D4;C8,H3;CJ,H4"
1571662509,1,26,1,"C8,C2;D10,DQ;D9,DA;S4,S2;D4,D2;D6,DK;SQ,SA;S10,SJ;S9,SK;D8,D7;S5,S7;HA,D3;H2,H5;H10,HJ;HK,DJ;C10,CJ;HQ,D5;H8,H9;C5,C7;C4,C6;S8,H6;CA,H4;CK,S3;CQ,H7;C9,S6;C3,H3"
1571662509,1,21,1,"CA,C2;D4,D6;SK,SA;S10,SJ;C5,C6;D8,D9;S3,S4;S7,S8;DJ,D5;DK,D10;DA,DQ;S5,S2;S6,H3;S9,HQ;SQ,H9;H4,HA;C4,C7;CJ,CQ;HK,D2;HJ,D7;C3,C8;H7,D3;H6,H5;C9,H2;C10,H10;CK,H8"
1571662509,1,9,1,"CA,C2;D5,D6;C3,C6;C7,C4;C10,C5;CQ,C9;CK,C8;D2,D4;S7,S8;DQ,DK;SJ,SQ;S3,S2;S6,SK;D9,D10;SA,S4;S9,S5;S10,HJ;D3,DJ;H4,H7;H3,H6;H9,H8;HQ,H2;HK,H10;D7,HA;D8,H5;DA,CJ"
1571662509,1,8,1,"C8,C2;C3,C9;S2,S3;C6,C10;S10,SJ;SQ,SK;D6,D7;D10,DJ;C5,C4;S5,S6;SA,S4;S7,CQ;S8,HK;S9,H5;H4,H2;H7,H10;HA,CA;HQ,C7;D2,D4;HJ,CJ;DA,D3;D5,H3;D8,H8;D9,H9;DQ,H6;DK,CK"
1571662509,1,26,1,"C4,C2;CQ,CK;SJ,SK;D4,D5;S7,S9;D6,D8;D10,D2;DJ,DQ;C5,C3;DK,D9;DA,D3;C6,C10;C9,CJ;H10,D7;S5,S6;H7,HA;H6,H8;H5,HK;S4,S8;CA,H2;S10,SQ;C8,HJ;C7,H3;SA,H4;S3,HQ;S2,H9"
