1571665732,1,17,1,"CA,C2;S4,S2;S9,S3;SQ,S6;SK,SJ;SA,S7;D2,DA;HQ,S10;C9,C10;H9,HA;H7,S8;H5,S5;CJ,CQ;H2,H3;C4,C5;D10,DJ;C3,C6;D7,D8;H4,H8;DK,D3;D6,D5;D9,D4;DQ,H6;C7,HK;C8,H10;CK,HJ"
1571665732,1,3,1,"CJ,C2;D10,DQ;C5,C4;D3,D9;S9,S10;C6,C7;C8,C9;SJ,SK;S7,SQ;D7,DK;S6,S8;D6,D8;S4,S5;SA,S2;S3,H9;D4,DA;HK,D2;H6,H2;C10,C3;CQ,CA;HJ,DJ;H10,D5;H5,HA;H4,HQ;H3,H8;CK,H7"
1571665732,1,26,1,"CA,C2;C4,C7;C8,C6;C9,C10;S9,SJ;S8,S10;S5,SQ;D5,D6;D3,D9;D2,D4;CQ,C3;CJ,CK;HA,C5;S4,SK;DQ,DA;DJ,DK;H9,H10;S2,S3;H7,HQ;H6,HJ;D10,D7;SA,S7;H2,H5;HK,D8;H4,H8;H3,S6"
1571665732,1,20,1,"CA,C2;S2,S6;DQ,DK;D4,D5;D6,D3;S3,SA;DJ,DA;D7,D2;S5,SJ;C10,CJ;C7,CQ;C6,C9;S8,S7;C3,C4;HA,S4;HK,SK;H2,H6;H8,H3;C5,C8;H9,H10;HJ,H7;HQ,H5;CK,S9;D8,SQ;D9,S10;D10,H4"
1571665732,1,26,1,"CQ,C2;S6,SQ;C5,C6;D5,D6;D8,D9;C4,C8;D3,D4;S10,SJ;D10,DJ;C3,C7;S7,S3;SK,S2;C9,CA;HK,S9;HJ,S4;H8,S5;H6,HQ;H5,H9;H4,SA;H3,S8;C10,H10;DA,H7;DK,CK;DQ,H2;D7,CJ;D2,HA"
1571665732,1,5,1,"CQ,C2;C3,CJ;D4,D2;C6,C4;C7,CA;D6,D3;C8,C5;C10,CK;HA,C9;S5,S6;DQ,DK;SJ,SQ;D7,D5;D9,D8;D10,DJ;S8,S9;H5,H2;DA,HK;S2,SA;SK,S4;S10,S7;H3,H6;H9,H10;HJ,H7;H4,HQ;H8,S3"
1571665732,1,26,1,"C9,C2;DQ,DK;C4,C8;S3,S4;D3,D7;SK,SA;CJ,C7;CQ,C3;CK,C10;D2,D5;SQ,CA;S8,S9;HK,C5;HJ,C6;DJ,DA;H7,H9;H5,H10;D10,D6;H2,H3;D9,H8;SJ,H6;S10,HQ;S7,D4;S6,D8;S5,HA;S2,H4"
