1571666302,1,11,0,"CQ,C2;C5,CK;C6,C4;C7,CA;S8,S9;D10,DQ;D4,D3;C9,C3;CJ,C10;D5,D2;D6,DJ;S4,S5;S6,S7;D7,D8;S10,SJ;SQ,C8;DA,D9;DK,H7;S2,H8;S3,H10;SK,HQ;SA,H3;H6,HJ;HA,H2;H9,H4;HK,H5"
1571666302,1,16,0,"CQ,C2;D2,D3;S9,S10;CJ,CA;S4,S6;C7,C8;S2,S5;SJ,S3;D7,D8;C9,CK;SQ,S7;DQ,D9;SK,S8;SA,HK;C3,C10;HQ,DA;HJ,HA;H10,D4;H2,H3;H9,H4;C4,C6;H8,D10;H7,D5;H6,DJ;H5,D6;C5,DK"
1571666302,1,13,0,"CA,C2;S5,SA;C3,C4;C6,C7;S9,S10;D4,D3;S6,S7;D10,DJ;D5,D2;SQ,S4;C9,C8;C10,C5;CK,CQ;D6,D7;HQ,S3;HJ,SJ;H3,H4;H10,CJ;H8,S2;H6,S8;H2,SK;DA,H5;DK,HK;DQ,H9;D9,H7;D8,HA"
1571666302,1,8,0,"C4,C2;DK,DA;D2,D3;C10,CJ;C3,C5;SJ,SQ;C7,C8;S3,S5;D4,D6;S8,S6;S7,S4;S10,S2;SK,S9;C9,CQ;HJ,SA;H5,H6;DQ,D7;CK,C6;CA,D5;H2,H10;H7,H4;H9,H3;D8,HQ;D9,HK;D10,HA;DJ,H8"
1571666302,1,0,0,"CA,C2;S2,S7;D10,DJ;C5,C7;D8,D9;D4,D5;C3,C4;S9,S10;SJ,SA;DK,DA;C8,C6;D2,D7;C9,C10;S8,SK;S4,S5;D6,DQ;S6,S3;D3,HA;CJ,H7;CQ,H8;CK,SQ;H4,H2;H10,H3;HJ,H5;HQ,H6;HK,H9"
