1571662851,1,3,1,"CA,C2;D2,D5;D3,D4;S8,S10;S6,S7;C10,CJ;C3,C4;C9,CQ;D9,D8;C6,C5;C7,CK;SJ,SQ;SK,SA;S5,S9;DQ,DA;DJ,D7;C8,H2;D10,DK;HJ,D6;H6,H7;H10,HQ;H5,H4;H9,HK;S4,HA;S3,H3;S2,H8"
1571662851,1,26,1,"CA,C2;D7,D9;SK,SA;S4,S5;SJ,SQ;C5,C6;CJ,CQ;S7,S9;S6,S2;DQ,D8;S3,S8;HA,DK;HQ,D4;H6,H7;H4,H5;H10,D2;C4,C7;H9,D6;H8,D5;H2,D10;S10,D3;CK,HJ;C10,H3;C9,DJ;C8,DA;C3,HK"
1571662851,1,26,1,"CJ,C2;C4,C9;SJ,SQ;D6,D10;S10,SK;S6,S7;D5,D7;S3,S4;D4,D9;D3,D8;DJ,DQ;S8,S9;C5,C6;HQ,CQ;HJ,HK;H10,C8;H3,H4;H8,HA;H7,CK;H5,CA;H2,C3;S5,C7;S2,H6;DA,H9;DK,C10;D2,SA"
1571662851,1,7,1,"C3,C2;D5,D6;DQ,DA;D10,DK;S9,SJ;C8,C9;S2,S4;C10,CJ;D3,D2;D7,D4;C5,C7;SQ,D8;CA,C4;C6,DJ;CQ,HJ;CK,H8;H3,H2;H4,HA;H6,H7;S7,S10;HQ,D9;H10,H5;S5,S8;SA,H9;SK,S3;S6,HK"
1571662851,1,18,1,"CA,C2;C6,C8;D7,D8;C5,C9;S7,S10;SJ,SK;S5,S6;D4,D5;D2,D3;C4,C10;CQ,CJ;CK,C3;S2,S3;S4,S8;D10,DQ;SA,SQ;D9,DJ;HQ,C7;H10,S9;H9,HJ;H3,H5;DA,D6;DK,HK;H2,HA;H8,H7;H6,H4"
1571662851,1,26,1,"C3,C2;SK,SA;D9,D6;S3,S10;S7,SJ;D10,D4;S5,S4;S6,S8;C5,C4;DJ,D8;DK,DQ;DA,D3;C6,C7;HK,S2;CQ,CA;H5,H6;HJ,S9;CJ,CK;H10,D2;H9,HA;H7,D5;H4,HQ;H2,D7;C10,SQ;C9,H8;C8,H3"
