1571665758,1,12,1,"C6,C2;S8,S9;SQ,SA;D7,D8;C4,C5;DQ,DK;D5,D2;D4,D6;C9,C10;D10,DJ;S7,S10;C3,C7;S2,S3;DA,D3;S4,SJ;S5,S6;HA,D9;H10,H4;H8,H2;H9,H5;HK,H6;C8,HQ;CJ,H7;CQ,H3;CK,HJ;CA,SK"
1571665758,1,23,1,"CA,C2;S2,S3;S10,SJ;C7,C8;SK,SA;C9,C10;C4,C5;CQ,CK;S5,S7;D5,D6;D3,D2;C3,HK;C6,H3;CJ,H6;S4,S6;H8,H4;S8,S9;D9,D10;HQ,HA;H10,H9;HJ,H5;SQ,H2;D4,DJ;DA,H7;DK,DQ;D8,D7"
1571665758,1,3,1,"C6,C2;D2,D3;C5,C9;C4,C10;S5,S6;SK,SA;SJ,SQ;D5,D7;D8,D9;DJ,DQ;S3,S4;CA,C7;S7,S2;S10,S9;CQ,C8;CK,CJ;D4,DK;HK,S8;HQ,HA;H7,H9;DA,D6;D10,HJ;H2,H8;H10,C3;H6,H4;H3,H5"
1571665758,1,9,1,"CK,C2;C3,C7;S7,S8;SK,SA;S5,S10;D4,D5;C8,C4;C9,CQ;D3,D2;C10,C6;S2,S9;SQ,CA;HA,C5;DK,DA;H6,H2;S3,S6;HK,CJ;H5,H7;D10,DJ;D7,D8;D9,DQ;HQ,H10;D6,H9;HJ,H3;S4,H8;SJ,H4"
1571665758,1,17,1,"C5,C2;CK,CA;C7,CJ;C6,C9;S10,SK;D5,D7;D8,D9;S3,S2;C4,C8;D4,D6;HA,C3;H2,H5;H7,H4;S7,S9;HJ,CQ;H8,H6;S8,S5;SA,SQ;H9,HQ;H10,S4;DA,HK;DK,SJ;DQ,H3;DJ,S6;D10,C10;D3,D2"
1571665758,1,19,1,"CK,C2;D2,DQ;C6,C7;D10,DJ;D8,D5;D9,D7;DK,D3;DA,D4;S3,S2;S6,SK;S9,S8;S10,S7;SJ,S4;SQ,S5;C3,C9;H10,D6;H9,HA;H2,H4;CQ,CA;H8,HQ;H6,H3;C4,HK;C5,H7;C8,H5;C10,SA;CJ,HJ"
1571665758,1,18,1,"CJ,C2;C3,CA;S6,S10;S5,S7;C9,CQ;C8,CK;D4,D2;C5,C4;C6,C10;D7,D6;C7,DQ;D8,DK;D10,D3;DJ,D5;DA,D9;S2,SK;S4,S8;S3,S9;H6,H7;H4,HQ;H3,H5;H2,H10;HA,HJ;SJ,H8;SQ,HK;SA,H9"
