1571666106,1,26,1,"C10,C2;C6,CK;S4,S3;C9,CQ;D3,D2;S8,S6;S9,S2;S10,S5;SJ,SQ;D10,DJ;HK,C4;HJ,C3;H9,H10;H6,H7;H5,C5;SA,S7;SK,D4;H2,HA;H3,C7;D9,DQ;DA,H4;DK,CJ;D8,HQ;D7,H8;D6,C8;D5,CA"
1571666106,1,13,1,"C3,C2;S5,S4;S9,S3;S10,S8;SJ,S2;SK,SQ;D2,D3;DK,DA;D6,D7;C5,C7;C8,C9;C10,CJ;HA,S6;C4,C6;H7,H9;H2,H3;HQ,SA;D8,D5;D10,D9;DJ,D4;H4,H5;H10,HK;H6,S7;CA,H8;CK,HJ;CQ,DQ"
1571666106,1,3,1,"CA,C2;D4,DQ;D7,D10;S8,S9;S3,S2;D5,D9;SJ,SK;S10,SA;C9,CJ;S5,S6;C5,C6;S7,SQ;C8,CQ;C7,C10;DJ,DA;D6,D3;S4,H10;C3,HA;C4,HJ;CK,DK;H2,HK;HQ,D2;H5,H8;H9,D8;H4,H7;H3,H6"
1571666106,1,13,1,"C7,C2;C3,C4;SK,SA;S3,S2;S4,SJ;D3,D2;S5,S9;D10,DJ;C8,C6;S10,S6;SQ,S8;D5,D8;D7,D6;DQ,D4;DA,DK;C9,C5;CJ,C10;CQ,CA;HA,D9;HK,S7;H10,HQ;H8,H9;H4,H7;H3,HJ;H2,H5;CK,H6"
1571666106,1,26,1,"C8,C2;DK,DA;D2,D3;S8,SJ;SK,SA;S4,S5;CK,CA;S7,S10;C5,C6;S2,S9;D4,D5;D7,D9;D6,DJ;SQ,D8;HJ,S3;H3,H5;H10,DQ;H9,D10;H6,S6;CQ,HA;CJ,H2;C10,HQ;C9,H7;C7,HK;C4,H8;C3,H4"
1571666106,1,23,1,"CJ,C2;C4,C9;S3,S2;C5,C3;C7,CK;D4,D3;C8,C6;C10,CQ;S5,S7;S8,S4;SJ,S6;SK,S9;SA,SQ;D5,DA;D7,D8;HA,CA;H6,H3;D10,D6;DJ,D2;DQ,D9;DK,HK;H5,HJ;HQ,H7;H8,H4;H9,H2;H10,S10"
