1571662727,1,22,1,"CA,C2;S3,S10;C4,C6;S4,S2;S6,S5;S7,S8;D9,D10;C7,C3;S9,SJ;DK,DA;CJ,CQ;D3,D2;SK,SQ;D4,DJ;CK,C5;D5,D6;HK,SA;H3,H2;DQ,D7;C8,HJ;C9,H10;C10,H7;H6,H4;H8,HA;HQ,D8;H9,H5"
1571662727,1,16,1,"CA,C2;C3,C9;S5,S2;C5,CJ;S9,S8;C7,CQ;D4,D5;D6,D9;D10,DJ;D2,D3;C10,C6;CK,C4;S10,SJ;SK,SQ;SA,S4;DQ,D8;DK,D7;DA,H9;H3,HQ;H10,HJ;H7,H2;H4,H8;HA,S7;HK,S3;H6,C8;H5,S6"
1571662727,1,9,1,"CA,C2;D3,D4;DJ,DQ;D6,D7;S5,S6;C5,C6;C7,C3;D8,D2;D10,DK;HA,D5;S3,S2;C10,C9;CJ,CK;SJ,SQ;H9,H10;S10,SK;H4,H2;CQ,C8;S4,S8;HK,D9;HQ,H6;S9,S7;SA,H3;H7,H5;H8,C4;HJ,DA"
1571662727,1,26,1,"CA,C2;C3,CQ;D3,D4;S9,S10;S3,S4;DQ,DA;D2,D5;S2,S5;D7,D8;S7,S8;CK,C7;D6,DJ;SQ,CJ;HK,C6;H2,H3;H8,H9;HJ,C10;H7,C5;S6,SJ;H6,C8;H5,C4;H4,H10;SA,HA;D10,DK;SK,C9;D9,HQ"
1571662727,1,3,1,"C10,C2;C6,C9;CJ,CK;DJ,DQ;D7,D8;C5,C7;D4,D5;C4,C8;S5,S7;S2,S9;SQ,SK;SA,S4;CA,CQ;D2,HK;H3,H2;H4,HA;HQ,S10;HJ,S6;H10,S3;H9,C3;DA,H8;DK,S8;D10,H7;D9,H6;D6,H5;D3,SJ"
1571662727,1,1,1,"C4,C2;D2,D3;DJ,DQ;D10,DK;D6,D7;SJ,SK;S4,S6;S7,S9;C8,C10;C6,C9;D4,D8;D9,D5;CA,CQ;DA,H4;S3,S8;H5,H6;HA,C5;S10,S5;SA,S2;H2,HK;H3,H7;HQ,CJ;HJ,C3;H10,SQ;H9,CK;H8,C7"
1571662727,1,26,1,"C4,C2;S4,S2;S5,S3;SJ,SK;D7,D9;DJ,DK;C6,C3;SA,S8;D3,D2;D4,D10;HJ,S10;C7,C5;D5,D8;C9,C10;H7,S9;H6,S6;H4,H10;H3,S7;H2,SQ;DA,HK;D6,HQ;CA,H9;CK,HA;CQ,H5;CJ,H8;C8,DQ"
