1571663017,1,26,1,"CK,C2;D3,D2;D4,D7;S5,S7;D5,D8;C4,C5;C6,C3;DJ,D6;DA,D9;C7,CJ;S4,S6;S10,SJ;SK,SA;HJ,D10;H5,H6;H7,H8;S2,S3;S9,SQ;C10,C8;S8,DK;C9,CQ;H10,HA;H9,DQ;H4,HK;H3,HQ;H2,CA"
1571663017,1,24,1,"C5,C2;C7,C9;S8,S10;D2,D3;D8,D9;DK,DA;S5,S3;S6,SA;C6,C8;C10,CJ;D5,D6;D10,D7;SK,S7;DJ,D4;DQ,H8;C3,CK;H4,H2;C4,S2;CQ,SQ;CA,HK;H6,H10;HA,H3;H7,H5;H9,S4;HJ,SJ;HQ,S9"
1571663017,1,18,1,"CK,C2;D3,D5;D7,D6;D9,DA;CJ,CQ;S9,S10;S8,SJ;S3,S5;S2,S6;C10,CA;DQ,DK;C4,C5;C6,C3;DJ,D8;C7,H4;C8,H7;C9,D4;S7,S4;SQ,H9;SK,HK;SA,H6;H2,H5;HJ,D10;H10,D2;H8,HQ;H3,HA"
1571663017,1,18,1,"CQ,C2;S10,SJ;D3,D4;D8,D9;C5,C7;C8,C3;D2,DA;C9,C6;D5,D6;S4,S6;S2,S3;CJ,C10;D10,D7;DJ,DK;CK,C4;CA,DQ;S8,SK;S9,S7;SQ,S5;SA,H9;H2,H7;HK,HA;H10,H6;H3,HQ;H8,H5;H4,HJ"
1571663017,1,6,1,"CA,C2;C3,C6;D4,D5;S7,S8;C4,C10;S4,S5;S6,SJ;DQ,DA;D10,DK;D9,DJ;S3,S9;CK,C9;S2,S10;SQ,C8;HK,CJ;HQ,C5;H10,HA;H9,C7;H6,H5;H8,HJ;D8,D2;SK,CQ;SA,H4;D3,H3;D6,H2;D7,H7"
1571663017,1,17,1,"CA,C2;C4,CJ;DJ,DQ;S7,S8;D6,D8;C8,CQ;DK,DA;C5,C3;C7,C10;D5,D10;SK,SA;S4,S10;S3,S9;SJ,S5;SQ,S6;CK,C9;D2,D9;HA,S2;H4,H2;D4,D7;H10,HJ;H3,H5;H8,H6;H7,H9;HK,D3;HQ,C6"
