1571665561,1,1,1,"CA,C2;C3,CJ;D8,DJ;C8,C9;SQ,SK;S3,S2;C5,C4;C7,CQ;D2,D3;S7,S9;D6,D4;CK,C6;S6,S8;SJ,SA;HK,C10;H9,H10;H6,H7;S10,S4;H2,H5;HJ,S5;H8,HA;H3,HQ;D5,D7;DA,D10;DQ,D9;DK,H4"
1571665561,1,26,1,"C9,C2;SJ,SQ;D6,D7;C7,C3;C6,C5;CK,C4;S2,S5;DQ,DK;S6,S8;HK,CA;H6,H7;HQ,CJ;H10,C10;H9,CQ;H5,C8;D3,D4;D9,D10;SK,SA;H3,H4;H2,HA;S10,HJ;S3,H8;DJ,DA;D8,S9;D5,S4;D2,S7"
1571665561,1,5,1,"C10,C2;C9,CJ;S6,S2;S7,S3;S9,SA;D2,D4;CQ,CK;D6,D5;SK,S4;C3,CA;HQ,S5;H3,H2;C4,C7;HJ,S8;D8,D3;C6,C5;C8,H9;D9,DJ;H5,H4;D10,DA;H10,SQ;H8,SJ;H7,HK;DK,D7;H6,HA;DQ,S10"
1571665561,1,2,1,"CJ,C2;S5,S7;CQ,CK;C7,C9;D9,D10;SJ,SQ;DJ,DQ;D2,D4;D6,D3;DK,D7;DA,D5;S2,S8;HK,D8;HQ,HA;H6,H2;S4,SK;C5,CA;H9,H10;H5,H7;C4,C8;S10,S9;C3,C10;HJ,C6;H8,SA;H4,S6;H3,S3"
1571665561,1,26,1,"CA,C2;D2,DA;D9,D10;C5,C6;C9,C10;S8,S10;CQ,CK;D5,D7;S7,S9;S2,S3;D3,D8;DQ,D6;C7,C8;SQ,D4;HA,DJ;H5,H6;H10,DK;H3,H4;CJ,C4;H2,HJ;SA,H9;SK,C3;SJ,HK;S6,HQ;S5,H7;S4,H8"
1571665561,1,26,1,"CK,C2;D5,DQ;C10,CJ;S3,S4;D10,DK;C9,CA;C8,CQ;S5,S2;D7,D2;D8,DA;S10,SJ;S9,SK;S8,SA;D9,DJ;HQ,D4;H3,H5;H10,D3;H8,D6;H7,H9;C5,C6;H6,HA;S7,SQ;S6,HK;C7,HJ;C4,H4;C3,H2"
1571665561,1,5,1,"CA,C2;S2,S4;D10,DK;S5,S7;D3,D4;D5,D2;D6,DJ;C6,C4;D8,DQ;C8,C3;DA,D9;S9,S6;S10,S3;SK,SJ;C10,C5;CJ,C9;CQ,C7;CK,H9;H2,HK;H4,H3;H6,H5;H7,H10;HA,S8;HQ,SQ;HJ,SA;H8,D7"
1571665561,1,26,1,"CK,C2;C5,C6;D7,D9;S2,S6;D4,D8;S9,S10;C8,C7;C10,C9;CQ,C3;S7,S8;HA,CA;H10,C4;D10,DJ;H9,HJ;SJ,SQ;H3,H4;D3,DQ;SA,S5;SK,S3;D2,D6;DA,D5;DK,S4;H2,H7;H8,HK;H6,CJ;H5,HQ"
