1571666066,1,14,0,"CQ,C2;C3,CK;D4,D8;S4,S5;S2,S3;D10,D7;C4,CA;S6,S7;DQ,DJ;C5,C9;DK,D9;C10,C8;DA,D6;S9,S8;SJ,S10;SQ,H4;SK,C7;SA,D5;H2,HQ;HK,D2;H10,C6;H9,HA;H7,HJ;H6,CJ;H5,H8;H3,D3"
1571666066,1,19,0,"CA,C2;S2,S9;C7,C4;S5,S10;C9,C5;S8,S7;SQ,S4;SA,S6;C10,C6;CJ,C8;CQ,CK;HA,C3;H10,H4;H5,HQ;D3,D2;H6,H3;H7,H2;H8,HJ;HK,SJ;D8,D9;H9,S3;D7,D10;DJ,D4;D6,DQ;DA,D5;DK,SK"
1571666066,1,24,0,"C3,C2;S5,S7;S9,S10;CJ,CQ;D4,D6;S8,SJ;D2,D3;DJ,DK;D10,DQ;S4,S6;CK,CA;SQ,S2;D8,D9;SA,S3;SK,HA;DA,D7;H4,HQ;H6,H3;H9,H2;HJ,H10;HK,H7;C5,C4;C7,C6;C8,H5;C9,H8;C10,D5"
1571666066,1,23,0,"CQ,C2;C7,C8;S6,S8;C5,C6;S10,SJ;D9,D10;S9,SK;D4,D3;S3,S7;DJ,DQ;CJ,CK;C4,C10;D5,D2;CA,C3;S5,S4;SA,SQ;D6,HQ;D7,HA;D8,H2;DK,H9;DA,H10;H4,H3;H6,H7;HK,S2;HJ,H5;H8,C9"
1571666066,1,4,0,"C9,C2;CQ,CK;SQ,SK;D5,D7;D9,D10;D2,D3;S4,S6;S7,S8;C5,C6;C3,C8;SA,S2;CJ,C7;S9,S3;S10,S5;SJ,HQ;D4,DA;H3,H4;HA,CA;H9,H10;H7,H8;D8,DJ;H2,H5;DK,D6;DQ,HK;H6,C4;HJ,C10"
1571666066,1,9,0,"CK,C2;S2,S6;S4,S5;D2,D3;D7,D8;D5,D4;D9,DJ;C4,C5;S7,S3;D10,DA;S8,S9;SQ,SA;C7,C8;SJ,SK;DK,D6;S10,CA;DQ,H5;H6,H4;H10,H9;HK,H8;HA,H3;C3,CJ;CQ,HQ;C10,HJ;C9,H7;C6,H2"
1571666066,1,4,0,"CQ,C2;D7,D10;CJ,CA;D6,DQ;S6,S7;C7,C8;SQ,SA;S3,S4;S2,S5;C9,C10;C5,C6;S9,S10;SJ,S8;C3,CK;D5,DJ;D2,D8;HA,SK;H2,H3;H5,H8;HJ,HQ;DK,DA;H4,H6;HK,H7;C4,D9;H9,D4;H10,D3"
1571666066,1,2,0,"C3,C2;DK,DA;D3,D2;C8,C5;C10,C4;CK,C9;CA,CJ;D4,D6;S2,S3;SQ,CQ;D5,D7;DJ,D8;D9,DQ;HK,C6;S4,S5;S7,S8;HJ,C7;SJ,SK;H3,H4;H9,H10;S10,SA;H5,H2;H8,HQ;D10,H6;S9,HA;S6,H7"
