1571666289,1,18,0,"C3,C2;S6,S7;D4,D2;S2,S5;D6,D5;S3,S9;DQ,DK;CJ,CK;C9,C10;C4,C5;D9,D8;S8,SA;SK,S4;C6,C8;HK,S10;HQ,SJ;HJ,HA;H7,H8;H4,H3;H5,H9;C7,CQ;H6,H2;CA,H10;D10,D7;DJ,D3;DA,SQ"
1571666289,1,7,0,"C10,C2;D2,D4;D5,D6;S4,S7;D7,D8;C9,CQ;DJ,D10;DQ,D9;DK,D3;DA,SJ;C4,C6;S3,S5;S2,S6;S9,SQ;SA,S8;SK,S10;C7,C3;C8,C5;CA,CJ;H3,H4;H7,H2;H5,H10;HJ,H8;H6,HA;HK,HQ;H9,CK"
1571666289,1,24,0,"C5,C2;C7,C8;CQ,CK;C4,C3;C9,C10;D3,D4;S2,S5;S6,S4;S9,S10;D7,D8;DJ,DQ;DK,DA;D5,D2;SJ,S8;CJ,C6;CA,H8;D6,H6;D9,H10;D10,H3;H2,HQ;H5,H4;H7,SQ;H9,SK;HJ,S7;HK,S3;HA,SA"
1571666289,1,4,0,"C4,C2;C8,C7;C10,C6;CJ,C9;CK,CA;D9,DQ;HA,CQ;H6,H8;HQ,C3;HJ,HK;S8,SJ;S7,SQ;H10,C5;D8,DJ;D7,D10;D4,D2;H3,H2;H4,H7;S5,S9;DA,D5;H9,H5;D6,D3;DK,S10;S2,S4;SK,S6;S3,SA"
1571666289,1,24,0,"CA,C2;SK,SA;C5,C7;D3,D4;DK,DA;D10,DJ;D8,D6;D9,D2;DQ,D5;C3,C10;S4,S5;CQ,CK;C8,C4;C9,C6;CJ,HA;S6,S2;S7,S3;S9,S10;H9,H10;H7,H2;SJ,S8;SQ,H4;H8,H3;HJ,H5;HQ,H6;HK,D7"
1571666289,1,10,0,"CA,C2;C4,C10;S10,SJ;C8,CK;D10,DJ;S4,S5;SQ,SK;C7,C9;C6,C3;C5,CQ;S7,S8;D6,D2;D5,D3;D8,D7;DK,DQ;S2,HA;S3,D9;S6,HQ;S9,CJ;SA,DA;H3,H7;HK,D4;HJ,H5;H8,H6;H9,H2;H10,H4"
1571666289,1,3,0,"CA,C2;C10,CJ;SQ,SK;D8,D10;S8,S10;C3,C5;C9,CK;C8,CQ;S7,S2;C7,C4;D5,D7;HK,C6;S6,S9;H2,H3;H7,H8;S5,SJ;DQ,D6;DJ,D3;DA,D9;S3,HA;S4,H10;SA,HJ;H4,H6;HQ,D4;H9,D2;H5,DK"
