1571032204,3,0,2,"CA,CK,C8,C2;S6,S9,S5,SJ;C10,C4,C5,C3;S7,S3,S2,SA;CJ,CQ,HA,C9;SQ,S8,S4,SK;D3,D9,DA,D10;H4,H5,H6,H10;D6,DQ,H7,C7;H9,D4,DJ,S10;DK,HK,D8,C6;H2,H8,D7,HQ;D2,H3,D5,HJ"
1571032204,3,4,2,"C3,C7,C10,C2;S7,S4,SA,S8;SJ,S3,S2,SQ;D10,D9,DQ,DK;SK,DA,S5,S10;CJ,C5,C9,C8;CQ,CK,C6,D7;H5,CA,C4,H7;D5,D3,D4,H6;D6,D8,D2,H9;HQ,DJ,HA,S6;H4,HJ,HK,H2;H8,H3,H10,S9"
1571032204,3,12,2,"C8,CA,C3,C2;C6,C5,C4,C10;D7,D3,DJ,D8;DQ,D10,DK,D2;SK,S3,S4,S10;S6,S9,S8,SQ;D4,CK,HQ,D5;HK,H6,H10,HJ;H2,H9,H8,CQ;CJ,H5,H4,D6;C9,H3,SA,DA;S5,H7,SJ,D9;S2,HA,S7,C7"
