1571032203,3,5,2,"CJ,CA,C4,C2;CK,C6,C8,CQ;C9,C7,HQ,C5;S3,S7,S6,S4;S8,SQ,SJ,SK;D6,D2,DJ,D7;H3,H4,H7,H6;S5,DA,S2,D10;DQ,C3,SA,C10;HJ,H8,S10,H2;D8,DK,D5,D9;HA,S9,D4,H5;H10,H9,D3,HK"
1571032203,3,0,2,"CA,C4,C10,C2;S9,SK,SJ,S5;CJ,CK,C7,C5;DQ,D8,D4,D7;S6,S8,S3,S2;S4,SA,S10,SQ;CQ,C8,C6,C3;DK,DJ,D3,D2;D9,C9,HJ,D6;D5,DA,H6,H10;H7,H8,H4,HK;H5,H9,H3,HQ;D10,HA,H2,S7"
1571032203,3,18,2,"C10,C4,CK,C2;SQ,S5,S8,S4;SJ,SK,S6,S10;D6,D2,D8,D9;C6,DA,CQ,CA;DK,D10,D5,D7;S9,SA,S2,HK;S7,S3,H10,HQ;C7,DQ,D3,DJ;H9,H4,H5,H2;HA,C3,C9,C8;H7,H6,H3,HJ;CJ,H8,C5,D4"
1571032203,3,4,2,"C3,CJ,C9,C2;DJ,D6,D10,D8;C7,C10,C8,CK;S6,S3,S5,S4;SJ,S2,S8,S10;C6,CQ,C5,CA;DA,D9,D3,DK;D2,D4,HJ,DQ;H8,H5,H7,H2;D5,SQ,S9,SK;H3,HQ,H9,HK;D7,H6,H4,H10;C4,HA,SA,S7"
