1571051115,3,15,3,"CJ,CA,C4,C2;D2,DA,D4,DQ;D5,DJ,D6,D9;S4,S9,S2,SJ;S7,H7,H9,S8;SK,D8,C10,S5;C6,C8,S3,CQ;H10,HA,SA,S6;CK,DK,HJ,D10;C3,SQ,H8,C7;H3,S10,H4,H2;H5,H6,D7,HK;C9,C5,D3,HQ"
1571051115,3,3,3,"C4,CQ,CJ,C2;S4,SJ,S3,S5;D3,D9,D2,DJ;S10,SQ,SK,S6;DQ,D7,D8,DA;H9,C7,DK,D5;HQ,H6,H8,H10;HA,H4,H2,H3;HJ,C6,H5,H7;D6,CA,C3,C9;S7,C8,S9,D10;S8,C10,SA,CK;HK,C5,S2,D4"
1571051115,3,0,3,"C6,CK,CA,C2;SQ,SA,S3,SK;C7,C10,C4,C8;D2,DA,D8,D4;DJ,C3,CQ,CJ;D10,D3,D5,D9;D6,S2,D7,DQ;S9,S4,S8,S10;H7,H5,H8,H10;HQ,H4,H6,HK;S7,HA,H9,HJ;DK,H3,S6,C5;S5,H2,SJ,C9"
1571051115,3,9,3,"C7,CQ,C3,C2;S6,S8,SA,S7;D6,DJ,D9,D2;S5,SJ,S9,SQ;DK,D3,DA,D4;CK,C9,C4,CJ;C6,H10,C8,CA;SK,S3,S2,S4;HQ,H5,H6,HK;H9,H7,H3,HJ;D8,HA,D7,D10;D5,C10,H2,C5;S10,DQ,H4,H8"
1571051115,3,14,3,"C10,CK,C8,C2;D3,DA,D5,D6;D10,DJ,D7,D9;SJ,SK,S7,S5;S10,S4,CJ,S9;C4,C7,CA,C3;D4,DQ,DK,D2;SQ,CQ,S3,C9;S8,H10,S6,SA;H3,H6,H5,H2;HQ,HJ,HK,C5;H8,S2,H9,C6;HA,H7,D8,H4"
1571051115,3,17,3,"C7,C4,CQ,C2;S8,S3,S2,SJ;CK,CJ,C3,CA;SK,S9,SQ,S10;DQ,DA,D5,DJ;C10,C8,D10,C5;SA,H5,D6,S6;H8,HA,S7,S4;H9,H3,H6,H10;HJ,D3,H4,H2;D9,D2,D4,D8;H7,HK,C6,D7;HQ,C9,S5,DK"
