1570031190,3,13,1,"DQ,C10,C4,C2;C9,CJ,C3,SA;DJ,D8,DK,DA;S4,S8,S10,S7;C6,C8,C5,D4;D10,D6,D9,D2;S6,S9,SK,SQ;CQ,CK,S3,S2;HK,H3,H7,H6;H4,H5,H10,HJ;D7,H9,CA,HA;D5,H2,HQ,S5;D3,H8,C7,SJ"
1570031190,3,26,1,"CQ,CJ,C3,C2;D6,DA,D7,D8;D5,D4,SQ,D3;CK,C4,C5,C10;S2,SA,S7,S8;S6,SK,S3,S4;S10,C6,SJ,D10;DK,H7,HJ,D9;S9,CA,HA,H10;S5,HQ,HK,H5;DJ,H2,H9,H4;DQ,C9,H8,H6;D2,C7,H3,C8"
1570031190,3,17,1,"C9,C7,CQ,C2;D6,D2,D7,D3;S3,SK,SJ,S6;C8,C10,CA,CK;S8,S4,S2,S7;S9,DJ,C3,S5;SA,C4,CJ,SQ;D4,DQ,D10,DA;C6,C5,DK,H10;HQ,H8,H7,H4;S10,H5,D5,H9;D8,D9,HK,HA;H3,H6,HJ,H2"
1570031190,3,0,1,"CK,C9,CJ,C2;S5,S9,S2,S7;SJ,S6,C6,S3;D7,DJ,DQ,D2;C8,CQ,C3,C4;S10,D8,S8,DK;S4,CA,SQ,D5;SK,C7,DA,D6;C5,C10,D9,H2;H4,HA,H7,HQ;D4,D3,H9,H8;D10,H5,HK,H6;HJ,SA,H10,H3"
1570031190,3,13,1,"CQ,C10,CA,C2;SJ,SQ,S6,SK;S9,S4,S10,S8;DK,D5,D7,DQ;SA,S2,S7,S3;D10,C3,D8,CJ;D9,C7,DJ,C9;DA,C6,D3,C4;C8,CK,D6,C5;HJ,H5,H6,H7;HA,H10,HQ,HK;H4,D2,H2,H8;H9,S5,D4,H3"
1570031190,3,0,1,"C4,C5,C7,C2;SJ,SA,S2,S9;D8,D6,D5,DJ;SK,S3,S6,S4;DK,D10,DQ,DA;D4,D9,S8,C6;D2,S7,D3,C8;CQ,CJ,CA,C10;H9,H8,H2,H10;H4,S10,HJ,H6;HQ,SQ,H3,C9;H5,S5,HK,C3;H7,D7,CK,HA"
1570031190,3,9,1,"C10,C4,C9,C2;SK,S10,SA,S8;S7,DK,SQ,S3;D7,D6,D8,DJ;SJ,DQ,S2,S6;C8,CJ,CQ,CK;DA,D3,CA,D5;D2,D10,C5,C7;H6,H4,HA,H10;H8,HJ,H5,H9;S5,H2,HK,S9;D9,H3,C6,HQ;D4,C3,S4,H7"
1570031190,3,0,1,"C6,C3,C7,C2;DA,D4,D5,DJ;D8,D9,D10,CQ;C10,CJ,CK,C8;S10,S6,SQ,S2;C9,C4,D7,C5;S9,S4,SJ,SK;S8,SA,D6,S5;CA,H9,H4,DK;H3,H2,HJ,H7;H5,H6,HK,H10;HA,D3,HQ,D2;S7,DQ,H8,S3"
