1569982430,3,22,1,"C6,C7,CK,C2;S5,S7,S8,SK;D9,DJ,D2,DK;C10,C5,C3,C4;C9,D6,C8,D8;D4,S9,D10,DQ;D5,SQ,D7,S6;CJ,S3,DA,CA;SJ,SA,S4,S10;H9,H3,H8,H7;H6,HQ,H10,H2;CQ,HA,HJ,HK;D3,H5,H4,S2"
1569982430,3,0,1,"CA,C8,CJ,C2;SQ,S2,S8,S6;C9,D4,C10,C7;DJ,CQ,DK,D6;SK,S10,S7,S5;S3,C3,SJ,DQ;C5,C4,C6,S4;D10,D3,H7,DA;D9,D5,HQ,H5;D7,D2,H9,H8;H6,H2,H3,H4;D8,SA,HK,HA;S9,CK,H10,HJ"
1569982430,3,0,1,"C9,CK,CQ,C2;SK,D10,S8,S4;SJ,D4,S9,S7;S6,D5,SA,S3;CA,C3,C4,C6;DJ,DK,D2,D9;C8,C5,D7,C7;D8,H4,D3,D6;H7,H10,H2,HA;HJ,H5,H9,CJ;HQ,H6,DQ,C10;SQ,HK,S5,S2;H3,H8,S10,DA"
1569982430,3,9,1,"CA,C4,CK,C2;D5,D8,DK,DJ;SK,SQ,S5,SA;D10,D9,D2,D3;C6,C3,CQ,C9;C10,C7,C5,C8;CJ,DQ,S3,S9;S4,S2,S8,S6;D6,D7,DA,SJ;S7,H4,H6,S10;HK,H7,H2,H5;HJ,H8,HQ,H10;H3,D4,HA,H9"
1569982430,3,0,1,"C3,C7,CQ,C2;D4,D2,DA,D3;S9,SK,S8,S3;SJ,SQ,S6,S5;C5,CK,C8,SA;C6,D9,C9,S4;C10,CA,DK,S10;S2,DQ,D7,S7;D6,HJ,D8,D10;H8,H5,H6,HQ;C4,H10,H4,HA;D5,H9,H3,DJ;H2,HK,H7,CJ"
1569982430,3,21,1,"C8,C9,CQ,C2;DK,D8,D9,D2;S6,SK,S2,SA;DA,D3,DJ,D5;SJ,S7,S4,S8;C6,C5,CK,C3;DQ,D10,S5,D6;CJ,C10,H7,C7;HK,H6,HJ,H5;H10,H8,HQ,S10;HA,H9,H3,D4;H2,S3,S9,C4;H4,SQ,CA,D7"
1569982430,3,4,1,"CJ,CA,C4,C2;C10,C5,C3,C7;DJ,D3,D7,D2;CQ,D8,C6,C9;DA,DQ,S2,D4;SQ,S7,S5,SK;DK,D10,S3,D5;S4,SA,S6,CK;S9,SJ,S8,C8;H2,H9,H4,H10;HJ,H6,HQ,HA;H5,H3,H7,S10;H8,D9,D6,HK"
1569982430,3,2,1,"C9,C5,CJ,C2;S7,SJ,S10,S2;D2,D6,DQ,D4;D7,C8,DK,DA;S6,S4,S8,S5;C7,C6,CQ,C4;D3,DJ,CK,SQ;C10,C3,SK,S9;S3,SA,H2,HQ;HK,HA,H6,H5;H10,H4,H9,D8;HJ,H3,H7,D9;H8,CA,D10,D5"
