1569982408,3,0,1,"CJ,C3,C7,C2;S3,S8,S10,S2;D10,D5,D9,DJ;S4,SQ,S7,S9;D6,D3,DK,D4;C9,C8,CA,C5;C6,CQ,C4,SA;S5,D7,DQ,SJ;H10,H9,HJ,H2;HK,H5,SK,HA;H6,H8,C10,HQ;H7,D8,S6,H4;CK,D2,DA,H3"
1569982408,3,0,1,"C3,CJ,CQ,C2;D4,DQ,DJ,D5;SJ,S6,S2,S4;S3,SA,SQ,S5;S10,S7,S9,SK;C8,C9,C7,C6;DA,D3,D10,D9;D7,CK,D6,DK;HA,HQ,HK,C5;H7,H2,H9,D8;H8,H4,C4,H10;H6,D2,H3,C10;HJ,CA,H5,S8"
1569982408,3,18,1,"C6,CJ,CK,C2;S3,SQ,S5,S4;DJ,D10,D9,D2;CA,C7,C10,C5;C8,S2,CQ,C3;S8,DA,S10,S7;D5,D4,DK,D3;C9,H5,H6,C4;H8,H2,HJ,H10;DQ,HK,D7,D6;S9,H3,S6,SJ;SA,HQ,H9,SK;H4,HA,H7,D8"
1569982408,3,0,1,"C7,CK,CA,C2;SA,S2,S10,S5;D10,DJ,D5,DA;S6,SJ,S8,S7;C9,CQ,C3,C4;D2,D7,D3,DQ;D9,D4,DK,C10;SK,SQ,S4,S3;D8,D6,H10,HQ;H5,H2,HK,H4;H3,HA,C5,HJ;C8,C6,H8,H7;H9,CJ,S9,H6"
1569982408,3,10,1,"C8,C3,C5,C2;D5,DQ,D10,D3;S10,C6,SA,SK;DK,D2,D7,D4;D9,S9,D6,DJ;C4,CJ,C7,DA;SQ,CA,SJ,S7;S2,C10,S4,D8;CK,HK,H9,HJ;CQ,S5,H3,HA;C9,S3,H2,H6;HQ,S6,H4,H5;H8,S8,H10,H7"
1569982408,3,8,1,"C5,C4,C8,C2;S7,SA,SJ,S3;D5,D9,D2,D4;C3,C6,CK,C10;D6,DJ,D8,D7;S8,S9,SK,S5;D3,D10,DQ,DK;S2,C7,S6,S4;S10,CA,CQ,SQ;CJ,C9,HQ,DA;HA,H10,H6,H2;HJ,H9,H5,HK;H8,H7,H4,H3"
1569982408,3,2,1,"C9,C8,C3,C2;SQ,SA,S6,SK;D5,D4,DK,D2;D8,D3,D6,D7;S7,S8,S3,S9;CQ,C4,CJ,C5;CK,HJ,C10,CA;D10,H4,H2,D9;SJ,S4,HQ,S10;S2,S5,H6,H3;H8,H5,HK,DQ;HA,H9,H7,C7;DA,H10,C6,DJ"
1569982408,3,3,1,"C3,C5,CJ,C2;D6,DK,D9,D7;C7,CQ,CA,C4;S9,S5,SJ,S6;C9,C6,SQ,D3;C10,DA,DQ,D5;CK,D10,S2,SA;D8,DJ,S10,D4;SK,S7,S4,S3;H8,H2,HK,H10;H9,S8,HJ,H4;H6,D2,HA,H7;H5,C8,H3,HQ"
1569982408,3,13,1,"C8,CA,C3,C2;S9,S7,S3,SA;D5,D8,D2,DJ;C9,C10,C5,C7;D3,DK,D9,DA;SK,S10,S8,SJ;SQ,CQ,S4,CK;C4,CJ,C6,D6;D4,D7,D10,DQ;H7,H6,H5,H8;H9,HA,H3,H4;S6,S2,HJ,H2;S5,H10,HQ,HK"
