1569977195,3,0,2,"C2,C3,C6,C10;SK,S4,S7,SJ;S6,S2,D2,S10;D9,D4,D5,D7;SQ,H8,CQ,S3;CJ,HJ,C5,C8;D3,DQ,DA,DK;C4,H10,H7,C9;H3,HA,H9,HQ;HK,H5,H4,H6;D6,S8,D8,DJ;CA,SA,CK,H2;S9,S5,C7,D10"
1569977195,3,26,2,"C2,C6,C10,C5;S5,S10,S2,SK;CJ,C3,C8,C7;S7,S6,S4,SQ;CQ,D4,CK,CA;D9,D5,D3,D7;D6,D10,DJ,DA;S9,SJ,S3,S8;D2,HA,DQ,D8;C9,H7,H9,HQ;C4,H8,H6,H10;HK,HJ,H2,H4;H5,H3,DK,SA"
1569977195,3,2,2,"C2,C3,DQ,CJ;D7,D8,D9,D5;S8,SJ,S9,S4;D4,D2,DJ,D10;CA,C5,H7,C6;SA,S5,S7,S10;DA,D6,D3,H3;SQ,C10,S6,SK;C7,HA,C8,H5;HK,H8,H9,H4;C4,HJ,H6,CK;C9,S2,H2,HQ;CQ,S3,DK,H10"
1569977195,3,3,2,"C2,C9,CJ,C10;D2,D3,D8,DK;CQ,C8,CK,C3;DJ,DQ,D6,D4;S2,S5,S6,SK;D10,D9,H6,DA;SJ,S10,S7,SA;D7,H3,S9,D5;HK,H9,C7,HQ;H2,H8,C4,H5;S3,HJ,SQ,CA;C6,H4,H10,C5;S8,HA,S4,H7"
1569977195,3,3,2,"C2,C9,CJ,C6;D5,D4,D3,D6;S2,S9,SJ,S8;C8,C4,CA,CK;C7,CQ,HQ,C3;SK,S7,S5,SQ;DA,D7,D10,DQ;D8,HA,D9,DK;S4,S10,H4,S6;SA,S3,HK,H10;H8,H9,D2,HJ;C10,H7,H3,C5;H6,H5,H2,DJ"
