1570124988,3,0,0,"C7,C5,CJ,C2;S3,SQ,SA,SK;S4,S7,S5,SJ;C6,C10,C4,CA;CK,C3,C8,HQ;H7,H10,HJ,H5;D2,D9,D3,D6;HA,DJ,H6,H4;H2,S9,S6,H3;HK,H8,DA,DK;H9,S10,C9,DQ;D7,CQ,D10,D5;D4,S8,S2,D8"
1570124988,3,0,0,"C6,C5,CQ,C2;S8,S3,S9,S6;D3,D8,DK,D7;D5,DJ,H4,D4;HQ,H10,H9,H7;SA,S7,S5,SQ;SK,S4,S10,D9;C10,C7,C8,CA;C3,C9,DQ,CJ;H8,H3,HJ,H5;H6,SJ,D10,HA;H2,HK,CK,D2;S2,D6,C4,DA"
1570124988,3,5,0,"C8,C5,C7,C2;S3,S9,S5,SK;SJ,S2,CJ,S7;C3,C6,C10,DA;CQ,CA,HA,D4;D3,D6,D5,DK;H8,H2,H3,H10;D7,DQ,HK,D8;S4,D2,SQ,HJ;S6,SA,D9,D10;HQ,H4,H6,H7;S8,S10,DJ,CK;C4,H9,H5,C9"
1570124988,3,2,0,"C7,C8,C9,C2;D5,D7,DJ,DA;D8,D6,D4,D9;DQ,H4,DK,H2;CA,CQ,CK,C5;C4,S4,C3,C10;SA,S7,S3,SJ;S5,H7,S2,S8;S9,SQ,HA,S6;HJ,H3,H8,H6;HK,H5,H10,H9;HQ,C6,D3,D10;SK,S10,CJ,D2"
1570124988,3,2,0,"CJ,CK,C6,C2;D9,D8,DK,D4;S8,S6,SA,S2;SJ,S7,HJ,SK;DJ,D2,D3,DA;DQ,D7,D6,C7;C5,CA,C8,C4;S10,H5,S5,S3;H9,H7,H6,H10;CQ,D10,C9,C3;S9,S4,D5,H3;SQ,H8,C10,HQ;HA,H4,H2,HK"
