1571050983,3,0,1,"CK,C10,C5,C2;DJ,DK,D2,DA;S9,S5,SJ,SK;CQ,C8,C7,CJ;S10,S7,SA,S2;CA,C9,D7,C3;S8,H2,C4,C6;D8,H6,HJ,H9;H10,S6,H5,H7;D3,D5,H3,HK;D4,DQ,H8,HQ;S3,S4,H4,SQ;D9,D6,D10,HA"
1571050983,3,0,1,"C6,CJ,CQ,C2;D5,D7,D2,D10;S2,S4,S8,S9;D4,D3,DA,DK;SJ,C3,SQ,S10;CK,C8,C9,CA;D8,DJ,DQ,D9;C7,C5,D6,C10;H8,H2,H5,H10;HK,H6,H9,H3;S3,SA,HA,C4;S7,SK,H4,S6;HQ,HJ,S5,H7"
1571050983,3,3,1,"CJ,C10,CK,C2;S7,S5,SQ,SK;CA,C9,C4,C7;DJ,DQ,D4,D5;D2,D7,D3,D8;H3,D9,DK,DA;HQ,H10,H8,D10;S4,H9,HA,H4;S8,SA,S3,S2;S6,HJ,H6,S9;C5,C8,H5,CQ;C3,HK,D6,C6;SJ,H7,H2,S10"
1571050983,3,1,1,"CA,C8,C3,C2;S3,S7,S6,S4;DA,D6,D4,D5;D9,HJ,D3,D7;HQ,H4,HK,H2;SQ,S2,S9,S8;C10,D10,D8,DK;C7,CK,C5,CQ;D2,DJ,H5,DQ;SA,C6,SK,C4;H3,H8,HA,H6;H9,S10,CJ,H7;SJ,C9,H10,S5"
1571050983,3,26,1,"C4,C8,CQ,C2;D6,DQ,D2,D5;S3,SA,S9,S4;DK,D10,D4,D8;C10,C7,CA,C6;HQ,C5,CK,C9;S5,S8,S2,SQ;D7,H5,D9,DJ;H10,S6,HK,S10;D3,SK,H9,CJ;HJ,H7,H2,SJ;H3,H8,DA,C3;HA,H4,H6,S7"
1571050983,3,0,1,"C4,C8,C7,C2;D3,D8,D10,DK;DA,DQ,D4,D2;S7,S3,S8,SA;S6,S5,SJ,S9;H5,C3,C10,C9;D7,DJ,H7,D5;H10,HA,HQ,HK;SK,S10,CQ,S2;H9,CK,CA,C5;H3,H2,H6,HJ;H4,SQ,C6,H8;D6,D9,CJ,S4"
1571050983,3,13,1,"CQ,CJ,C10,C2;SQ,S4,S3,SK;SJ,S9,C8,S8;DA,C7,C6,C4;D3,D4,D9,D2;H6,S7,S6,SA;H8,H2,H7,H9;D6,D7,D5,D10;H3,H10,HJ,HQ;H5,S10,D8,HK;HA,C9,CK,H4;C5,C3,DQ,DJ;DK,CA,S5,S2"
