1569978777,3,0,0,"C2,CK,CQ,C6;S4,S7,S5,S3;DJ,D6,D10,DA;C5,C8,CA,S6;D7,D9,D5,S8;C9,C3,SK,C4;SQ,C7,SA,S9;S2,C10,S10,SJ;D2,HK,CJ,D4;DK,H5,HQ,D3;DQ,H10,HJ,D8;H3,H9,H8,HA;H4,H7,H6,H2"
1569978777,3,13,0,"C2,CA,CK,C9;D3,DK,DQ,D10;S8,S6,S4,SJ;C8,S10,C6,C3;S7,SQ,C10,S5;DJ,D6,D4,C7;DA,D7,D5,SK;D2,D9,CJ,S2;SA,S9,C4,S3;C5,H6,H2,CQ;HK,H9,H10,H5;HQ,H8,H4,HA;H3,D8,H7,HJ"
1569978777,3,18,0,"C2,CK,CQ,C7;SK,S7,S3,S5;SQ,S4,D9,SJ;S6,S2,D3,S9;D5,D2,DA,D8;C3,C8,C6,C4;C10,D10,S8,C9;C5,D4,SA,CJ;DJ,S10,DQ,D7;DK,H8,CA,D6;HK,H6,HQ,HA;H7,H2,H5,H10;H9,H4,H3,HJ"
1569978777,3,0,0,"C2,C7,CA,C10;S5,SJ,S3,S2;CJ,CQ,C3,C4;SA,DJ,SQ,S4;D2,D7,D5,D6;DA,D8,DK,D10;D4,S8,S7,DQ;S10,H6,SK,H10;H7,HJ,H8,H9;HQ,HK,C6,H5;D9,S6,H2,HA;CK,C8,C9,H3;D3,S9,C5,H4"
1569978777,3,0,0,"C2,C7,C9,C3;D2,DQ,DJ,DK;C10,C8,C4,C5;S7,SJ,S9,S6;S3,S8,SA,SK;D5,D3,D7,S4;CQ,C6,D9,CA;S5,D8,SQ,DA;HJ,HQ,H7,HA;HK,H6,H8,H2;CK,H5,H4,CJ;D6,D10,H9,S2;D4,H10,S10,H3"
1569978777,3,4,0,"C2,C7,CA,C3;S5,S8,S2,S7;C6,CQ,C5,C10;D6,DJ,D7,DA;C4,D8,CJ,CK;C9,DK,C8,SQ;SJ,SK,S6,S9;D5,D10,S4,D2;H10,H4,H9,H7;H2,H3,HK,S10;HA,H5,D3,HJ;DQ,SA,D9,H6;D4,H8,S3,HQ"
1569978777,3,5,0,"C2,C7,C10,C8;DQ,D7,D4,D3;S8,S3,S10,S4;CK,C9,C4,C5;DA,SA,DK,D6;CA,C3,CQ,D8;D10,S7,D5,D9;C6,SQ,CJ,D2;S9,S6,H3,H2;S5,SJ,H10,HQ;H6,H4,DJ,H7;HK,H8,S2,H9;HJ,H5,SK,HA"
1569978777,3,0,0,"C2,C6,CJ,C5;D2,DA,D10,C9;S10,SQ,S6,S5;D9,D3,C4,D6;CA,S4,CQ,C8;D7,DK,CK,DQ;DJ,D8,S7,C10;SA,SJ,H4,S8;D4,D5,HJ,SK;C7,H9,HK,C3;HA,H6,H5,HQ;H10,H7,H8,S3;H3,H2,S2,S9"
1569978777,3,22,0,"C2,C7,C10,C6;D3,D2,D8,D4;S9,S2,S3,S10;C9,C3,CJ,CQ;C5,C4,CK,CA;D6,DJ,D9,D5;SK,S8,S7,SJ;SQ,S5,SA,DA;C8,DQ,D7,H10;S4,D10,DK,H5;S6,H4,HQ,H6;HA,HK,H9,HJ;H3,H7,H2,H8"
1569978777,3,13,0,"C2,CA,CQ,C4;DA,D8,D6,D3;D5,DJ,DQ,DK;S9,S3,S2,S10;D9,D2,D7,C10;S6,S5,S4,SA;CJ,SQ,C6,C8;CK,D10,C5,SK;S8,SJ,C9,S7;HJ,H8,HA,H10;HK,H2,H3,H7;D4,H6,H9,C3;H4,HQ,H5,C7"
