1571051296,3,11,2,"C10,C4,C9,C2;SJ,SQ,SK,S5;S10,S7,S9,S2;D3,D9,D2,D5;S3,S4,H6,SA;H3,HJ,H9,H4;H2,H7,S8,H8;DA,D8,DQ,D6;HK,CJ,C7,CK;DK,C6,CQ,C3;D10,D4,C8,D7;HQ,CA,HA,H5;DJ,S6,C5,H10"
1571051296,3,10,2,"C9,C7,C6,C2;D5,D2,DA,D4;C3,C4,CA,C5;CJ,S2,CK,CQ;DK,D9,D3,D6;SA,S7,S4,S3;H10,D8,D10,DQ;H6,SQ,HA,C8;S6,S10,S9,SJ;H8,H3,H7,H5;HJ,HQ,DJ,SK;H9,HK,H2,S5;D7,H4,C10,S8"
1571051296,3,8,2,"S8,C9,CK,C2;C3,D8,C5,C6;D2,DJ,D6,DA;C7,H10,C4,C8;S3,S6,S10,S2;H7,HK,H2,H5;H6,H8,HJ,HA;DQ,C10,CQ,CA;D4,S4,D5,D9;DK,H4,SK,D7;SJ,SA,H9,S7;H3,S9,CJ,HQ;D3,D10,SQ,S5"
1571051296,3,0,2,"CQ,CK,C3,C2;DA,D3,DJ,D9;SK,S5,S2,S10;C9,C8,H9,CA;H7,H3,HJ,HA;D5,C5,DQ,C6;S8,SQ,S7,S3;HK,C7,D6,C10;SJ,S9,S4,SA;H5,H4,H2,H8;D4,DK,D7,D10;D2,D8,H6,C4;HQ,S6,H10,CJ"
