1569982420,3,20,0,"C3,C7,C6,C2;SJ,S7,S10,SA;CA,C5,CK,CQ;C9,C8,CJ,D7;D5,DQ,C4,D10;DJ,DA,C10,D3;D8,SQ,DK,D6;S9,S4,S6,SK;D2,HK,D4,D9;HA,HJ,H4,HQ;H5,H8,H10,S5;H2,H6,H3,S3;H7,H9,S2,S8"
1569982420,3,3,0,"C10,C9,C5,C2;D5,D10,DQ,DJ;D3,D6,D8,DK;DA,C7,D2,D4;S3,SJ,S6,S9;S8,SK,S5,S10;SA,C6,S7,SQ;C4,CK,CJ,CQ;CA,C8,C3,S4;D7,H4,H3,HA;H7,H6,HJ,H8;HQ,H2,H9,HK;H5,S2,D9,H10"
1569982420,3,0,0,"CA,C5,C9,C2;D6,D2,DA,D4;S2,S7,S5,SJ;DQ,D9,D8,DJ;D7,S10,D5,D3;D10,SA,CQ,C3;DK,S9,C10,C6;S4,SQ,C4,S3;HA,H4,CJ,H2;H9,H10,C7,H5;HQ,H8,CK,HJ;H3,HK,C8,SK;H6,S8,H7,S6"
1569982420,3,4,0,"CA,C3,C8,C2;D9,D3,D4,D6;SQ,S8,SA,S9;DQ,D7,DJ,D5;S10,C9,S7,S5;SJ,C5,CQ,S3;DK,DA,CK,D8;D2,C10,S2,D10;C4,C7,CJ,S4;HJ,H2,H10,H6;H9,HK,HA,H3;H8,H5,S6,HQ;H7,C6,SK,H4"
1569982420,3,0,0,"C4,C6,CK,C2;D6,DJ,DA,D8;SA,S10,SK,S3;C5,C8,C10,C3;S5,S9,CQ,SJ;DK,DQ,D5,D10;S7,S8,C9,SQ;D7,D9,CJ,D4;D3,H5,D2,HK;HA,H9,H3,H7;H2,H6,H8,H4;C7,HJ,S2,S6;CA,H10,S4,HQ"
1569982420,3,6,0,"C3,CQ,C8,C2;SK,S6,S4,S9;S5,S3,S10,SJ;D10,DJ,D2,D7;CJ,C4,C9,CA;C10,C6,C5,D8;SQ,S8,SA,D6;D4,DA,D5,DQ;DK,HJ,D9,C7;H5,H3,H4,H9;H8,HA,H6,D3;HK,HQ,CK,H10;H2,S7,S2,H7"
1569982420,3,26,0,"C9,C10,CK,C2;S10,S4,S8,SQ;D8,DK,D7,DQ;DA,D3,D2,DJ;CJ,C8,CQ,C3;C4,CA,C7,S5;D6,S7,SJ,D10;S9,S6,S3,D4;SK,S2,H8,C5;C6,HJ,H6,H4;D9,H3,H9,H2;SA,H7,HQ,HA;D5,HK,H10,H5"
1569982420,3,22,0,"CJ,CK,C7,C2;S4,SA,S5,S7;DA,D8,D6,D4;C9,C6,C4,S8;DK,C8,D7,DJ;S10,SQ,D10,SK;DQ,CQ,D2,D3;D5,C5,D9,SJ;CA,S9,S3,C10;H3,H2,H8,H7;HJ,HA,H6,H5;H4,HQ,H9,C3;S6,H10,HK,S2"
1569982420,3,17,0,"C5,CQ,CJ,C2;S4,S7,SQ,S6;C10,C9,C7,C3;C8,C4,DA,CK;D10,DJ,D4,D2;CA,D7,D3,SK;S2,SA,S9,S3;D9,DQ,D5,DK;S5,D6,SJ,HQ;H3,H6,H2,H9;H5,HA,HK,H8;H4,H7,D8,C6;HJ,H10,S10,S8"
