1569980834,3,0,1,"C5,C10,CK,C2;S10,S6,SK,S3;D5,DK,D4,D3;D8,D6,DA,C8;DQ,D7,DJ,S9;SQ,S4,SA,S8;S7,SJ,S5,C3;CA,C4,CQ,H7;HK,H3,HQ,H8;HJ,H4,H5,H2;C9,D10,CJ,H9;C7,C6,D9,H6;S2,HA,D2,H10"
1569980834,3,0,2,"C3,C6,CJ,C2;SJ,S6,SK,SQ;D8,D4,D10,D7;CK,C10,C9,S3;S10,S7,DK,S4;CQ,CA,C8,SA;D3,C7,D6,D5;D2,S2,D9,DQ;DA,H5,DJ,HJ;H2,H6,S9,H4;HK,S8,HQ,H7;H9,C4,H8,H3;S5,C5,H10,HA"
1569980834,3,4,2,"C5,C3,C8,C2;DK,D9,D5,D6;SJ,S9,S5,S4;D7,DJ,DQ,D3;SQ,S10,S8,SK;C7,C10,CA,C4;D2,D8,C9,D4;S2,S7,SA,S3;DA,C6,CJ,D10;CK,HK,CQ,HJ;H9,H5,HQ,H7;H8,H10,H2,H6;HA,H4,H3,S6"
1569980834,3,0,2,"CJ,C3,C7,C2;SK,S7,S4,S2;C6,C10,C9,CQ;D7,DK,DJ,DA;D2,D3,SQ,D5;D10,S3,SJ,D6;S9,S6,S5,S8;D4,C4,SA,D8;C8,C5,HQ,HA;H10,H5,H4,H8;H9,H7,DQ,H3;H2,H6,S10,HK;HJ,CK,D9,CA"
1569980834,3,8,2,"C6,C9,C8,C2;SK,S8,S4,S3;SQ,SJ,SA,S9;CA,CJ,C7,CK;D8,D5,D10,D9;DK,D4,D6,D2;S7,S10,S2,S5;D3,DJ,DQ,S6;CQ,C5,H7,C10;H4,H6,H3,H9;HJ,H2,HQ,HA;HK,DA,H5,C4;H10,D7,H8,C3"
