1571051073,3,24,3,"C7,CK,C3,C2;S2,S8,SA,SK;S7,D3,SJ,SQ;C6,C9,CQ,C4;DA,D4,D5,D9;HQ,CJ,S4,S5;HA,H10,S10,S6;D8,CA,D2,D6;H3,H8,H4,HK;H2,H5,D10,H6;C10,HJ,DK,S9;H9,C8,D7,S3;H7,DJ,DQ,C5"
1571051073,3,16,3,"CK,C10,C8,C2;S4,S2,S10,S8;C3,C6,CA,C7;DK,D4,D10,D8;DQ,D6,D9,D5;S5,S9,H4,S6;H6,H7,H5,HA;DA,C9,D2,D3;CQ,C5,HJ,CJ;SQ,HQ,H2,SK;SA,H8,HK,H10;SJ,S3,DJ,D7;C4,H3,S7,H9"
1571051073,3,17,3,"C5,C10,CQ,C2;D3,D5,D4,D2;S7,SA,S5,S2;DA,DK,D8,DJ;H5,C8,CK,C4;D10,DQ,C7,D6;S8,SK,CA,S4;H2,HJ,HK,H3;SJ,CJ,S9,SQ;D9,C3,D7,C6;H4,H7,H9,H6;S6,H10,H8,S10;C9,HA,HQ,S3"
1571051073,3,13,3,"C7,C10,C6,C2;SQ,S9,S6,SJ;S5,S4,S7,S3;C4,CK,C9,CQ;CA,H10,C8,C5;DJ,DK,D7,DA;D3,D2,D9,D10;D4,H3,DQ,D6;H5,S10,H9,CJ;H8,H2,HQ,HK;H4,D5,SA,C3;H6,S2,SK,HJ;H7,D8,S8,HA"
1571051073,3,0,3,"CA,C6,C7,C2;DK,D9,D10,D8;DQ,H2,D5,DA;H7,H10,HA,H6;D4,D3,C10,D2;C5,CQ,C4,C8;S10,C9,SK,CJ;S5,HJ,H3,H5;SQ,C3,S7,CK;H4,S6,D7,HK;S4,S8,D6,H8;SA,S9,DJ,HQ;S3,SJ,S2,H9"
1571051073,3,5,3,"C10,C6,C7,C2;C5,C4,CJ,C3;DK,D7,D4,D5;S3,S8,SQ,S10;S2,S7,S6,SJ;CQ,D6,C9,CK;HA,D10,C8,CA;SA,DJ,D9,D3;DA,HK,S4,SK;H8,H3,H2,H4;D2,S5,HJ,D8;H10,H5,H7,H6;S9,HQ,H9,DQ"
1571051073,3,21,3,"CK,C4,C5,C2;C9,CA,C8,C10;SQ,SK,SJ,S8;H10,CJ,C3,CQ;H4,HQ,H9,HA;H5,DK,H2,H6;S4,SA,S10,S3;HK,S5,S2,S7;D10,C7,S9,C6;DQ,D8,D2,D5;D6,D7,S6,D4;H3,HJ,D3,DA;H8,H7,D9,DJ"
1571051073,3,0,3,"C4,CA,C9,C2;SQ,S10,S5,SK;C7,C3,CJ,C8;DA,D7,D8,DQ;SA,S7,S4,S6;S2,SJ,S9,S3;D9,D3,D4,D5;CK,C10,C6,C5;DJ,DK,HA,CQ;H10,H8,HJ,H9;HK,H7,H4,H5;D2,D6,H3,S8;HQ,H6,H2,D10"
1571051073,3,20,3,"C9,C6,C4,C2;CQ,C5,C7,C3;D6,D5,DK,D9;D4,DQ,D10,D8;SQ,SJ,S5,S3;C10,H8,CA,CK;S4,S6,SK,S8;HJ,H3,H4,H2;C8,H7,DA,CJ;HA,S10,H9,H10;S2,HQ,S7,S9;D2,HK,H6,SA;D7,D3,DJ,H5"
