1569980801,3,7,3,"C5,C4,CA,C2;C9,C8,CJ,C6;S10,SJ,SA,D2;D9,D7,D5,DJ;S4,SQ,DQ,S5;D4,C7,DK,D3;D8,DA,C3,S8;D6,C10,D10,S6;CQ,CK,H5,H8;H2,HK,HA,H3;S2,H7,H9,S9;SK,H6,H4,S7;S3,HQ,H10,HJ"
1569980801,3,3,3,"C4,C5,C3,C2;D10,D2,D5,DK;D4,D8,C8,DA;S5,S2,SQ,S6;C10,C9,C6,CJ;DJ,D3,C7,D9;S3,S9,CK,S10;D7,D6,CQ,SK;CA,S7,H8,H5;H2,H6,H10,HK;S8,S4,HA,SJ;H4,H9,H7,HQ;SA,DQ,H3,HJ"
1569980801,3,13,3,"C3,C7,C4,C2;S2,S10,SK,S6;D10,DJ,D9,D3;S4,SQ,S7,S9;C6,CK,C10,C8;D6,DA,D2,DK;D5,D8,D4,D7;C9,C5,CA,CQ;S5,CJ,HJ,SJ;HA,H4,H6,H3;S8,H5,H2,H7;S3,HK,H8,HQ;SA,H9,H10,DQ"
1569980801,3,13,3,"C6,C10,CA,C2;D6,DK,D7,D3;CJ,C7,CQ,C3;S3,SJ,SQ,SA;S6,SK,S9,S5;D10,DJ,DA,D8;D2,D5,D4,D9;S4,C4,S7,S2;C8,CK,C9,H5;H9,H6,H8,H7;HQ,H4,HA,HJ;S8,HK,DQ,H3;S10,H2,C5,H10"
1569980801,3,0,3,"C9,CQ,CA,C2;DA,DQ,D8,D10;DK,D4,D3,DJ;SK,S10,S9,SQ;S2,S8,SJ,SA;C3,C10,C5,C4;C7,C6,CK,CJ;D5,D2,D7,D6;HQ,HA,H10,HK;H9,H7,H4,H3;C8,S4,H8,S7;S3,H2,H6,S6;H5,D9,HJ,S5"
