1571051036,3,2,2,"C8,CK,C5,C2;SK,S3,SJ,S5;S9,D5,S6,S10;CQ,C4,C7,C6;D9,D10,D8,D4;S8,S7,CA,S4;HA,H8,SA,S2;H4,HK,C10,H2;CJ,DA,DK,C3;H6,H3,D6,D7;HQ,H5,DJ,D2;D3,H9,HJ,H10;DQ,C9,H7,SQ"
1571051036,3,0,2,"CJ,C9,C7,C2;S2,S6,S7,SK;C10,C8,CA,C6;S9,S8,SQ,SJ;DJ,D6,DQ,D10;D4,DK,D9,DA;D7,D3,D8,D5;CQ,C3,C5,C4;S3,S5,S10,S4;HA,H6,H8,H2;H10,H4,H9,H3;HQ,H5,D2,CK;HJ,H7,SA,HK"
1571051036,3,0,2,"C9,C7,CK,C2;SQ,S9,S7,S5;SK,S8,S3,S6;DQ,D5,DJ,D9;C5,C4,C8,CJ;D3,C6,HJ,CA;D10,C3,SA,C10;D6,D2,DA,D7;H10,H2,H7,H3;HK,H5,S10,CQ;DK,H4,S4,HQ;SJ,H6,D8,HA;S2,H9,D4,H8"
1571051036,3,8,2,"C6,C5,CJ,C2;C3,CA,C4,CK;S8,SQ,S6,S10;DA,D8,D5,DK;HQ,C8,C9,C7;DQ,D6,D4,DJ;SJ,S9,SA,SK;H8,H3,H2,H9;S7,S4,S2,S5;D10,D9,CQ,C10;HJ,H7,H4,H5;D3,H6,D7,HK;S3,H10,D2,HA"
1571051036,3,8,2,"CA,C4,CJ,C2;D5,DQ,D8,D7;S6,S4,S7,SQ;C7,CQ,C6,C8;SJ,S9,S2,S3;C5,CK,S5,C9;D4,D9,D3,D10;H5,C3,H7,C10;HK,D2,DK,DA;H4,HJ,H8,H3;S10,HQ,SA,S8;HA,H6,H9,H2;SK,DJ,H10,D6"
1571051036,3,21,2,"CA,C3,C7,C2;S4,S6,S3,S7;S10,S5,SA,S8;S2,SQ,D2,SK;D6,D8,D4,D5;D9,DK,D7,DA;C5,C4,C8,C9;C10,HQ,CJ,C6;H10,HJ,H3,HK;H6,DJ,H7,H2;H9,H8,CK,HA;S9,H4,D10,SJ;D3,CQ,DQ,H5"
