1569982424,3,13,1,"C6,C8,CJ,C2;SJ,SQ,S10,S8;D7,D4,D5,D2;DQ,D9,S9,D3;DJ,D10,C10,DK;S2,S3,S4,S6;CK,C7,CQ,C3;D6,D8,HQ,C4;H7,HA,H4,H5;H2,DA,H10,H6;H3,C9,HK,S5;H9,S7,HJ,C5;CA,H8,SA,SK"
1569982424,3,4,1,"C4,CQ,C7,C2;C9,DQ,CA,CJ;D8,D4,DA,D10;D3,DK,D5,D9;S10,S4,SA,SQ;S7,S6,CK,S5;D2,DJ,D7,D6;C3,S3,C5,C6;S8,S2,S9,H3;H6,H9,H10,HJ;SJ,SK,HA,H8;HK,H2,H5,H7;C10,H4,HQ,C8"
1569982424,3,4,1,"C5,CQ,C7,C2;C3,C9,CK,CJ;SA,S7,S9,S2;S8,SK,S3,S5;DJ,DA,DK,D9;S6,SJ,S4,S10;C6,C10,C8,CA;D10,D6,D4,D2;DQ,C4,D7,D5;D3,H7,H4,D8;SQ,H6,H8,H10;HQ,H3,HJ,H2;HK,H5,HA,H9"
