1571051107,3,8,3,"C4,C7,C8,C2;CQ,C5,C6,CK;D3,D5,D4,D2;S10,D10,DA,DJ;SK,S7,S8,S9;SJ,C10,SQ,S3;CA,SA,C9,C3;H7,D7,D9,DK;H8,H9,HQ,H4;H2,H5,H10,H6;S2,DQ,S6,D6;S5,HA,HJ,H3;CJ,D8,S4,HK"
1571051107,3,4,3,"C5,CJ,C6,C2;C3,C8,C7,C4;D4,DK,D7,D6;SJ,S2,S10,S9;D10,DJ,SA,DA;S7,S3,SQ,S8;HQ,CQ,C9,C10;D3,CA,S6,D2;H4,H7,H2,H3;H9,HJ,HA,H8;H5,S4,D9,H10;HK,D8,CK,SK;H6,DQ,D5,S5"
1571051107,3,3,3,"CK,CJ,C9,C2;D7,D5,DQ,DJ;DK,D4,D9,D8;S6,H4,D2,DA;SK,C7,C8,C3;S5,S3,S9,SA;HQ,H8,H7,H9;HA,CA,S8,C4;H5,H6,HJ,H10;CQ,S10,S7,S2;C5,H2,H3,HK;D10,SQ,C10,D6;S4,C6,D3,SJ"
1571051107,3,5,3,"C7,CK,CJ,C2;C3,C10,C8,CQ;D4,DQ,D8,DK;S10,S4,S6,S2;S5,SK,H3,SQ;D5,D10,D2,D7;HK,D6,H4,H5;DA,H8,HQ,H7;S9,S8,H6,S7;D3,C4,D9,DJ;CA,H9,H10,HA;C5,C9,SA,S3;HJ,C6,H2,SJ"
1571051107,3,19,3,"CJ,C10,C6,C2;S5,S4,S2,S6;C4,D8,C3,C7;DA,SJ,S3,SK;D3,D9,D6,DK;DJ,H2,C5,C9;H7,DQ,D4,D7;SA,D5,HJ,D10;CQ,CA,HK,D2;H8,H3,HQ,H10;H9,CK,HA,H5;H6,S7,S9,S10;H4,S8,C8,SQ"
1571051107,3,15,3,"C8,C4,CJ,C2;D2,D10,D5,DK;C7,C3,CQ,C6;S3,S7,S6,S9;D6,D7,D8,D3;S8,H8,S4,S5;H6,SK,SQ,SA;HA,H10,H3,H9;CA,C5,DA,C9;D4,DJ,HJ,DQ;S10,H2,HQ,HK;S2,H5,H4,H7;C10,D9,CK,SJ"
1571051107,3,4,3,"CQ,C9,CJ,C2;S10,S7,SJ,SQ;S9,S2,S5,SK;C6,C10,C7,C8;DK,D3,D7,D4;D8,DJ,DA,D5;H9,SA,S6,S4;H4,D9,DQ,D2;S8,H10,H3,HA;D10,H5,HK,H8;H2,C5,C4,S3;H7,D6,CA,HJ;H6,C3,CK,HQ"
