1569982582,3,4,0,"CK,C8,C10,C2;D4,D3,D2,D6;S5,S9,S8,S2;S4,S7,SJ,SA;C6,C3,CJ,S6;DA,D5,D7,D9;D10,CA,DJ,D8;CQ,C4,DK,SQ;SK,S10,S3,H5;H8,HQ,H3,HK;H9,H4,HA,H6;H2,C5,HJ,H10;H7,C7,DQ,C9"
1569982582,3,0,0,"CQ,C6,C7,C2;D9,DJ,DQ,D6;S4,SQ,S5,S6;C3,C5,C8,C4;D3,D5,D7,DA;C10,C9,S10,CA;SK,S3,D2,S8;S2,SA,CJ,S9;DK,H5,D10,HA;H3,HK,H9,H4;HQ,H8,H6,H7;HJ,D4,H2,CK;H10,S7,D8,SJ"
1569982582,3,0,0,"C9,CA,C6,C2;DQ,D4,D3,D6;S9,S4,S2,S6;DK,DA,D8,D2;S10,SJ,SQ,S5;SA,C4,D10,S8;DJ,D5,D7,D9;S3,C5,CQ,SK;C10,CK,S7,CJ;C3,H10,HQ,C7;HA,H4,H2,H9;H5,H3,HK,H7;H6,H8,HJ,C8"
1569982582,3,4,0,"C4,C10,DK,C2;S6,S4,SQ,S9;C3,C8,D2,C6;D7,D4,C9,D3;C5,SK,C7,SJ;S5,D6,S8,CQ;S10,D10,SA,DJ;HJ,H9,HK,H7;H4,HA,H6,H3;D8,H2,D9,DA;CK,H5,H8,S7;CA,D5,HQ,S3;CJ,DQ,H10,S2"
