1569978202,3,0,1,"C2,CQ,D5,CK;D7,DQ,DK,DJ;D8,D3,DA,C9;SJ,S8,SA,S4;CA,C5,C10,SK;C8,C3,C7,D4;CJ,S3,C4,SQ;S2,S7,S10,S6;D10,D6,H6,H5;D9,S9,HJ,H10;D2,S5,H4,H2;HQ,H7,HA,H8;C6,H9,HK,H3"
1569978202,3,3,1,"C2,CJ,CA,C7;DQ,D7,D3,D10;CK,C5,SA,C4;D4,D5,D8,S2;S9,D6,S3,SQ;S5,DA,S4,SK;C9,CQ,S8,C10;D2,DK,C6,DJ;SJ,C8,C3,S10;S7,HJ,H4,S6;HA,H7,HQ,HK;H2,H3,H8,H5;H9,H10,H6,D9"
1569978202,3,3,1,"C2,CA,CK,D7;S5,S4,S9,S8;D3,D5,DQ,D10;SQ,S2,SK,S7;SJ,SA,S10,S6;CJ,DA,C9,C3;C10,D8,C6,C8;C4,D4,D2,C5;DJ,H8,H6,D9;C7,H9,H5,D6;CQ,HJ,HQ,DK;HK,H7,H10,H2;H3,S3,HA,H4"
1569978202,3,19,1,"C2,CJ,C8,C4;CK,CA,C10,C9;S9,S8,S7,S2;D3,D8,D5,D10;C7,SJ,C3,C6;S5,S3,SK,S4;DJ,D7,D6,DA;CQ,S6,SA,C5;DQ,D2,D4,DK;S10,H3,H4,H10;SQ,H9,H5,HK;H7,HA,HJ,HQ;H8,H6,D9,H2"
1569978202,3,0,1,"C2,C9,CJ,C5;S8,S3,SA,SQ;D8,D3,D7,DK;C3,C8,C6,C10;S4,SJ,S9,S10;CQ,CA,S5,D5;D6,S6,DA,DJ;CK,S2,C7,DQ;D10,HQ,D2,D4;S7,H10,SK,H8;C4,HA,H2,HK;D9,H4,HJ,H7;H9,H6,H5,H3"
1569978202,3,0,1,"C2,CA,C7,C8;CJ,C4,C3,CQ;D8,DK,D10,DJ;D6,D2,DA,D3;D4,DQ,D7,D5;S2,SJ,SK,SA;CK,S5,C9,C6;C10,S8,H3,C5;D9,S3,H2,S4;S7,HK,H5,S10;S9,H6,HA,S6;SQ,H10,H8,H7;H4,HJ,HQ,H9"
1569978202,3,17,1,"C2,C9,C6,C4;C3,CQ,D8,CK;DQ,D3,DK,DA;S5,SA,SK,S8;DJ,D9,CA,D5;D10,D2,S9,D7;C7,S10,SJ,C10;S3,S7,HK,S6;H2,H8,H9,HQ;H10,H7,H3,D6;C8,HJ,HA,CJ;S4,H5,SQ,C5;D4,H6,S2,H4"
