1569980816,3,13,3,"C8,CA,C5,C2;DK,D2,D3,D9;S7,SJ,S2,SQ;DQ,D7,S3,D8;C3,C9,CK,D6;S4,S10,SA,S5;CJ,C4,C7,D10;C6,DJ,S9,S6;D4,HQ,S8,DA;HA,HK,H6,H3;H10,H5,D5,H8;H7,H9,C10,HJ;H2,H4,CQ,SK"
1569980816,3,2,3,"CA,CQ,C6,C2;D7,DJ,D5,DK;SA,S5,S8,S9;S10,SJ,S6,S7;DQ,D9,D3,D6;S2,S3,C8,SQ;DA,D4,D10,CJ;D2,C3,D8,SK;C10,CK,C9,C4;C7,C5,H5,HJ;H10,H7,H3,HK;H8,H4,H6,H2;H9,HA,HQ,S4"
1569980816,3,19,3,"C9,C4,C10,C2;D4,D9,DK,DQ;S9,S6,S5,S2;C5,C8,CJ,D7;C7,C6,CK,S3;D3,CQ,D6,D8;DJ,C3,D10,DA;S4,S10,SA,S8;S7,D5,SK,SJ;CA,HK,H6,H3;HA,H8,H10,H4;H7,H2,HJ,H5;D2,HQ,SQ,H9"
1569980816,3,4,2,"CQ,CA,C6,C2;DK,D4,D7,DJ;S6,SA,S10,S2;C7,C9,C4,C8;CJ,C3,CK,D3;D2,D10,DQ,D6;S5,S7,S9,S8;DA,D9,S4,D8;SK,S3,C5,SQ;H2,H4,H10,H5;H9,HQ,H3,H7;D5,H8,H6,HJ;SJ,C10,HK,HA"
1569980816,3,17,2,"C3,C7,C4,C2;S3,S9,S2,SA;D10,D7,DQ,D4;D6,D2,D5,DK;S5,SK,S10,CK;C6,C8,C10,SQ;DA,DJ,D3,SJ;D9,D8,S6,S7;HA,H5,H10,HJ;H9,HQ,H7,H4;CQ,C9,H2,S4;CA,C5,H6,S8;CJ,H3,HK,H8"
