1569978205,3,7,1,"C2,CJ,C5,C3;D5,D9,D4,D2;C10,C8,CQ,CK;C6,S5,C7,CA;SA,S2,S6,SQ;DQ,S8,D3,S7;S4,S3,D10,C9;DJ,SK,DK,C4;D8,SJ,H3,D7;H4,H10,HA,H8;H5,H6,H7,S9;H9,H2,HJ,D6;HQ,S10,HK,DA"
1569978205,3,8,1,"C2,C4,C5,C8;D8,D2,D3,DK;CA,C6,C7,CQ;S6,S10,SJ,SQ;CJ,C9,C3,CK;S4,S9,S7,S3;D4,D5,DQ,DJ;C10,DA,D6,D10;SA,SK,S5,S2;H3,HA,H8,H10;D7,H6,H4,D9;H7,HJ,H5,HQ;H2,S8,H9,HK"
1569978205,3,3,1,"C2,C6,CJ,C7;S2,SQ,S7,S5;SK,S10,SJ,SA;D4,D6,D8,D7;DQ,D5,DJ,D2;C8,CK,C4,C5;C3,D10,C10,C9;S4,S9,S6,S8;DK,D3,CQ,CA;DA,H3,HA,HQ;D9,H8,HK,H10;HJ,H2,H9,H7;H5,H6,S3,H4"
1569978205,3,6,1,"C2,CQ,C9,CK;S9,SK,S4,S2;S3,S5,DA,S6;C7,C4,C3,CJ;DQ,D5,DJ,D10;D7,D4,D9,D8;C8,SJ,SA,C10;D3,D6,DK,S8;C6,S7,S10,CA;D2,H8,H5,H2;C5,H10,HK,H4;H7,HQ,HJ,HA;H3,SQ,H9,H6"
1569978205,3,0,1,"C2,CK,C10,CJ;D7,D2,DJ,DK;S2,SJ,S4,D4;CA,C6,C7,C9;C3,SQ,CQ,C8;S6,SK,D6,S3;S10,S7,D3,D10;S9,SA,D9,D5;C4,DQ,HA,HJ;C5,S8,H2,H8;H7,H3,H10,H5;DA,HQ,H6,HK;D8,S5,H9,H4"
1569978205,3,10,1,"C2,C5,CQ,C9;D6,D10,D2,D7;S2,S10,SA,S9;CJ,CA,C10,S4;CK,C8,C4,D4;DQ,D9,C6,DA;D3,S6,S7,DJ;SJ,C7,SQ,S8;S5,DK,C3,S3;SK,H7,H2,HK;H9,H8,H10,HJ;D5,H6,HA,H3;D8,H4,H5,HQ"
1569978205,3,26,1,"C2,C7,C9,C8;D7,D10,D9,DA;CK,CJ,CQ,C10;S6,SK,S2,DJ;S4,S3,D5,SA;SJ,S8,DQ,S10;C6,D3,D2,C4;C5,SQ,DK,D8;CA,H5,D6,S9;D4,HJ,HQ,S5;S7,HA,H4,H6;C3,H7,HK,H9;H10,H3,H2,H8"
