1569980823,3,0,1,"CJ,C7,CK,C2;D6,D7,D5,DJ;S9,SQ,S8,SA;D3,D2,D9,D10;C5,C8,C9,C6;S6,SK,S7,S3;CA,CQ,C10,DQ;HQ,H6,H2,HA;HJ,H8,H4,H5;S10,S5,SJ,H7;DA,C4,H9,DK;D8,C3,H3,D4;HK,S4,H10,S2"
1569980823,3,7,1,"CA,CQ,C10,C2;S10,S4,S2,S8;C6,C7,C5,CK;CJ,SQ,C8,C3;DA,D8,D2,D9;DK,D4,S9,D5;C9,S5,SA,D7;C4,D6,S7,D10;DQ,H8,HK,D3;H10,H6,H5,H3;H9,H2,HA,HQ;HJ,H7,DJ,SK;H4,S3,SJ,S6"
1569980823,3,6,1,"C7,CK,C4,C2;SK,S8,S9,S3;S6,S10,SQ,SA;D5,DK,D10,DQ;CA,C3,CQ,S5;DJ,D7,D2,DA;D9,C8,D6,D4;S4,S7,C5,SJ;CJ,S2,C9,C6;HQ,H6,H8,H7;H3,H9,H4,D3;HA,H2,C10,HK;H10,H5,D8,HJ"
