1570124990,3,9,1,"C10,C9,CA,C2;D4,D5,D3,D6;S10,S3,SA,S9;C6,C7,CK,C8;D7,H6,D10,D8;DK,DA,S4,DQ;D2,SQ,C5,CQ;S2,S5,S7,SK;H10,H7,HJ,HQ;C3,CJ,C4,S6;H4,HA,H3,H8;SJ,HK,D9,S8;H2,H5,DJ,H9"
1570124990,3,0,1,"CQ,CK,C9,C2;S10,SK,S2,S6;D5,DQ,D10,D7;D4,D9,D2,DK;C6,C10,C3,C8;DA,C4,HK,CA;DJ,H3,H2,H6;D8,C7,SJ,S5;D3,S9,HJ,H5;S8,SQ,HQ,S3;H8,H10,H4,S4;D6,CJ,H9,SA;S7,H7,HA,C5"
1570124990,3,0,1,"C9,C3,CJ,C2;C10,CA,C5,CQ;S8,S5,SJ,SQ;S2,S4,S9,SA;C6,CK,H2,C7;DJ,D7,D2,D10;SK,S10,H9,D8;D4,D5,D3,DA;H6,H5,HA,H8;DK,HQ,D6,DQ;C8,H10,C4,H7;S3,H4,S6,HK;D9,S7,H3,HJ"
1570124990,3,0,1,"C3,C5,CK,C2;CA,C10,CQ,C7;S8,SK,S9,S10;D7,DK,D4,D6;DJ,D10,D9,DQ;C4,C8,C9,S7;D2,D5,DA,D8;S4,S5,SJ,SQ;D3,H6,H3,HK;H4,HJ,HQ,H7;SA,H5,S6,S2;H10,HA,H8,C6;H2,H9,S3,CJ"
1570124990,3,0,1,"C3,CQ,C9,C2;S6,S7,S10,SA;CA,C4,C10,H4;H3,S3,HJ,H6;CK,C5,CJ,H9;SK,HQ,S8,S4;D7,D3,D9,D2;S2,S5,H5,H8;C8,D10,D5,D6;C6,DK,HK,H2;C7,SJ,H7,DA;HA,SQ,D4,H10;D8,S9,DJ,DQ"
1570124990,3,1,1,"CQ,CJ,C3,C2;SA,S7,S3,S5;S10,S9,SJ,S2;D6,D8,D7,D2;D10,D3,D4,D5;CA,C4,C7,C5;S8,HK,SK,S6;HA,H7,H2,H8;HQ,H9,HJ,H5;C10,C9,C6,C8;DQ,H3,DK,D9;H6,SQ,H10,CK;S4,H4,DJ,DA"
1570124990,3,3,1,"C4,CA,C6,C2;DK,D5,D3,D7;SJ,SQ,S5,S6;C10,C7,C9,D9;C3,D4,C5,D10;S7,SK,S10,S8;C8,CJ,HA,DJ;S3,H3,S2,S4;DA,D6,H2,D2;SA,S9,H5,D8;H10,H7,HQ,H4;CQ,H9,HJ,DQ;CK,HK,H6,H8"
1570124990,3,14,1,"C3,CA,CQ,C2;C6,CK,C8,C5;D4,D2,DK,D10;S7,S9,S3,SA;S6,S10,SQ,S4;D3,D5,D9,D6;SJ,HQ,S5,SK;DJ,H4,DA,DQ;H5,H7,H10,HA;CJ,C9,HJ,S2;C7,C4,D8,HK;S8,D7,H8,H9;C10,H2,H6,H3"
1570124990,3,0,1,"CQ,C5,C9,C2;D8,D2,D5,D10;C4,CK,C8,C6;D9,S4,D3,DK;DJ,D6,H4,D7;S10,S9,S8,S6;CJ,H9,C3,HQ;S5,S2,SQ,SJ;S7,SK,SA,H5;HA,H7,HK,H6;D4,S3,DA,H3;C10,DQ,C7,H2;CA,H8,H10,HJ"
